	gid	gname	Strata	Module	ModuleDesc
34	PL02003	calr	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
35	PL02055	unchar-20627	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
36	PL02069	unchar-23419	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
37	PL02253	tie2-3	Parliv	grey60	blastula_gastrula_pluteus_not_prism
38	PL02295	rad23	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
39	PL02349	aapk2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
40	PL02399	ampk	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
41	PL02545	mcln3	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
42	PL02561	plekhj1	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
43	PL02700	ca123	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
44	PL02835	gpx4	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
45	PL02859	unchar-12610	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
46	PL02897	farsa	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
47	PL02957	gp126-4	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
48	PL03220	obrg	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
49	PL03241	unchar-11160	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
50	PL03478	c5orf33	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
51	PL03505	hsdl	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
52	PL03556	wdr63	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
53	PL03691	rtca	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
54	PL03739	mp20	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
55	PL04160	psmd12	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
56	PL04321	gshb-2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
57	PL04643	-	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
58	PL04840	hat1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
59	PL04841	dnajhc9	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
60	PL04902	fhit	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
61	PL04927	chstf-2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
62	PL04942	aco1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
63	PL05029	aacy1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
64	PL05053	-	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
65	PL05100	pdhb-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
66	PL05143	ints10	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
67	PL05161	aasdb	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
68	PL05172	kishb	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
69	PL05229	suclg2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
70	PL05262	stt3hb	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
71	PL05273	agps	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
72	PL05274	abhea	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
73	PL05357	sarmr10	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
74	PL05376	cct5	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
75	PL05518	mic13	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
76	PL05545	psmd6	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
77	PL05589	cpt2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
78	PL05609	t2ag	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
79	PL05618	adas	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
80	PL05738	ippk	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
81	PL05750	cdv3	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
82	PL05751	atp6v1f	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
83	PL05777	mocos-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
84	PL05815	acoc	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
85	PL05870	ccdc51	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
86	PL05890	unchar-7062	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
87	PL05903	kiaa1033-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
88	PL05924	bl1s6	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
89	PL06100	glutamyl	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
90	PL06104	copz1-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
91	PL06183	glt28d2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
92	PL06199	cog5-2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
93	PL06252	rft	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
94	PL06260	ktelc1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
95	PL06265	abcc9g	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
96	PL06271	acox1-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
97	PL06348	unchar-22433	Parliv	grey60	blastula_gastrula_pluteus_not_prism
98	PL06480	ssrd-2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
99	PL06485	glt-2	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
100	PL06661	polr3d	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
101	PL06700	asps	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
102	PL06717	megf10l	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
103	PL06811	-	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
104	PL06931	os9-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
105	PL06964	madp1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
106	PL07085	idh3g	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
107	PL07107	ssrd-4	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
108	PL07118	znf830l	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
109	PL07270	chstf-3	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
110	PL07415	hibch	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
111	PL07435	comd4	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
112	PL07506	wsdu1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
113	PL07567	unchar-5094	Echinoidea	grey60	blastula_gastrula_pluteus_not_prism
114	PL07641	gata-5	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
115	PL07706	lrrc4	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
116	PL07761	ssrd-3	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
117	PL07768	cdk5rap3-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
118	PL07780	lkha4	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
119	PL07787	aspapd	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
120	PL07809	gagpol3	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
121	PL08055	snx6-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
122	PL08147	slc25a29	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
123	PL08159	dpagt1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
124	PL08407	unchar-3795	Parliv	grey60	blastula_gastrula_pluteus_not_prism
125	PL08410	unchar-19218	Echinoidea	grey60	blastula_gastrula_pluteus_not_prism
126	PL08616	masa	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
127	PL08663	unchar-24581	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
128	PL08726	snap25-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
129	PL08736	slirp	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
130	PL08749	tom70	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
131	PL08811	rtl_63	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
132	PL08962	mtvr2l	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
133	PL08973	unchar-23848	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
134	PL09075	unchar-16999	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
135	PL09091	rdh11-7	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
136	PL09136	clect-26	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
137	PL09168	tgfb2-2	Deuterostomia	grey60	blastula_gastrula_pluteus_not_prism
138	PL09179	c20orf3-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
139	PL09219	unchar-8321	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
140	PL09243	unchar-2908	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
141	PL09418	cog8	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
142	PL09442	ckap1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
143	PL09492	fk506bp2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
144	PL09551	pol4-82	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
145	PL09580	-	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
146	PL09594	unchar-5325	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
147	PL09658	eif3k	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
148	PL09682	mre11	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
149	PL09748	slc16-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
150	PL09796	pt117	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
151	PL09812	psmd8	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
152	PL09820	fcn2-15	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
153	PL09851	unchar-13495	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
154	PL09945	unchar-22284	Ambulacraria	grey60	blastula_gastrula_pluteus_not_prism
155	PL10035	unchar-19853	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
156	PL10160	fntb-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
157	PL10265	hao1-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
158	PL10350	emap-2	Parliv	grey60	blastula_gastrula_pluteus_not_prism
159	PL10421	unchar-8582	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
160	PL10445	rbbp5	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
161	PL10467	mjd	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
162	PL10475	argi1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
163	PL10560	unchar-1905	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
164	PL10636	emap-3	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
165	PL10924	unchar-11458	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
166	PL10931	cnih	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
167	PL10960	mapkk1ip1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
168	PL10966	nduf5-2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
169	PL10985	yif1b	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
170	PL10990	snx6-2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
171	PL11021	-	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
172	PL11170	pla2r-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
173	PL11194	ddo-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
174	PL11291	f177a	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
175	PL11415	alg11	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
176	PL11474	pet112l	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
177	PL11581	atp16	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
178	PL11663	tim8a	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
179	PL11716	unc50	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
180	PL11746	usp46l-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
181	PL11832	abce1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
182	PL11836	dhr11-2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
183	PL11848	coa5	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
184	PL11972	klhl5-2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
185	PL12102	unchar-24247	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
186	PL12289	unchar-19085	Parliv	grey60	blastula_gastrula_pluteus_not_prism
187	PL12334	mtif3l	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
188	PL12373	sqst1l	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
189	PL12505	aif	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
190	PL12561	fgf9	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
191	PL12705	klhl1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
192	PL12713	klhl5-3	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
193	PL12767	-	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
194	PL12846	cd029	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
195	PL12848	mals	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
196	PL12875	ufsp2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
197	PL13316	upb	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
198	PL13334	acox3-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
199	PL13724	tmed2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
200	PL13796	mapkapk5	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
201	PL13839	unchar-17701	Parliv	grey60	blastula_gastrula_pluteus_not_prism
202	PL13855	srr-3	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
203	PL14171	dyh10-6	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
204	PL14269	fam57al	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
205	PL14311	ssrp1-2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
206	PL14318	unchar-20060	Parliv	grey60	blastula_gastrula_pluteus_not_prism
207	PL14388	yrd6-25	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
208	PL14407	nif3l1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
209	PL14442	unchar-14476	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
210	PL14539	wsb1	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
211	PL14564	tufm	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
212	PL14590	sbds	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
213	PL14694	ti10b	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
214	PL14726	coq5	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
215	PL14833	c12orf4	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
216	PL14844	ndusf8	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
217	PL14952	eftu	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
218	PL14967	trxr1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
219	PL14969	rad9	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
220	PL15087	unchar-18993	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
221	PL15093	14-3-3e	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
222	PL15147	denr	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
223	PL15180	ostca	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
224	PL15216	-	Parliv	grey60	blastula_gastrula_pluteus_not_prism
225	PL15219	rtbs-139	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
226	PL15220	gbas-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
227	PL15346	-	Parliv	grey60	blastula_gastrula_pluteus_not_prism
228	PL15356	-	Parliv	grey60	blastula_gastrula_pluteus_not_prism
229	PL15358	casd1-2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
230	PL15520	unchar-3555	Echinoidea	grey60	blastula_gastrula_pluteus_not_prism
231	PL15550	unchar-19008	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
232	PL15566	unchar-16221	Parliv	grey60	blastula_gastrula_pluteus_not_prism
233	PL15980	unchar-20425	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
234	PL15982	pgta-2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
235	PL15997	pgta-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
236	PL16032	unchar-16254	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
237	PL16053	scml1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
238	PL16147	kiaa0766	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
239	PL16221	pol3-31	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
240	PL16260	bdh-2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
241	PL16264	c6orf118l	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
242	PL16280	sod	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
243	PL16311	vbp1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
244	PL16371	acat1-2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
245	PL16598	gart	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
246	PL16695	acat1-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
247	PL16980	unchar-579	Parliv	grey60	blastula_gastrula_pluteus_not_prism
248	PL16986	sdr-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
249	PL17105	pol4-69	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
250	PL17179	orc3	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
251	PL17404	ima1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
252	PL17463	nudc	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
253	PL17524	moesin	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
254	PL17582	-	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
255	PL17609	cpox	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
256	PL17748	me3	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
257	PL17868	syap1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
258	PL17926	gin1-3	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
259	PL17955	ldlrap1	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
260	PL18002	unchar-4932	Parliv	grey60	blastula_gastrula_pluteus_not_prism
261	PL18140	unchar-9251	Echinoidea	grey60	blastula_gastrula_pluteus_not_prism
262	PL18328	-	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
263	PL18588	unchar-5484	Parliv	grey60	blastula_gastrula_pluteus_not_prism
264	PL18906	unchar-15590	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
265	PL18976	echa-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
266	PL19218	eif2a-2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
267	PL19349	usp14	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
268	PL19461	unchar-8370	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
269	PL19592	fkb1a	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
270	PL19652	unchar-3766	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
271	PL19792	depdc6	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
272	PL20017	niempc1b	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
273	PL20161	unchar-18004	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
274	PL20434	pqlc3	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
275	PL20452	echa-2	Parliv	grey60	blastula_gastrula_pluteus_not_prism
276	PL20507	unchar-8312	Echinoidea	grey60	blastula_gastrula_pluteus_not_prism
277	PL20615	enosf1l	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
278	PL20631	derp13-2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
279	PL20709	htpalpha-2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
280	PL20770	if2a	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
281	PL20998	unchar-15848	Parliv	grey60	blastula_gastrula_pluteus_not_prism
282	PL21418	nsfl1c	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
283	PL21469	acaa2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
284	PL21513	unchar-6472	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
285	PL21551	if4e	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
286	PL21676	thim	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
287	PL21691	unchar-12196	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
288	PL21807	gels1-1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
289	PL21814	ghitm-2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
290	PL21908	nod2-7	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
291	PL22051	gbe1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
292	PL22168	unchar-17203	Parliv	grey60	blastula_gastrula_pluteus_not_prism
293	PL22177	gels2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
294	PL22277	h2ay	Parliv	grey60	blastula_gastrula_pluteus_not_prism
295	PL22432	dera	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
296	PL22463	fut10	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
297	PL22465	anxa7-5	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
298	PL22516	gels1-2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
299	PL22531	tmem66	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
300	PL22536	cbara1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
301	PL22955	eif4e1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
302	PL23018	unchar-21065	Parliv	grey60	blastula_gastrula_pluteus_not_prism
303	PL23081	z352	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
304	PL23105	hmh2a.2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
305	PL23106	aldh3a2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
306	PL23291	metap1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
307	PL23292	glgb	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
308	PL23337	unchar-11027	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
309	PL23449	mttp	Bilateria	grey60	blastula_gastrula_pluteus_not_prism
310	PL23603	sgpl1-1	Eleutherozoa	grey60	blastula_gastrula_pluteus_not_prism
311	PL23606	agxt2l1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
312	PL23722	ndufa5	Parliv	grey60	blastula_gastrula_pluteus_not_prism
313	PL23868	-	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
314	PL23992	rbx2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
315	PL24059	slc9a7	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
316	PL24066	wdr69	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
317	PL24273	cog6	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
318	PL24296	fund1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
319	PL24342	fis1	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
320	PL24357	gtf2f2	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
321	PL24369	-	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
322	PL24397	atg4hb	Eumetazoa	grey60	blastula_gastrula_pluteus_not_prism
323	PL24453	hyal-3	Parliv	grey60	blastula_gastrula_pluteus_not_prism
