s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi
PL08687	6655831	chrom1	99	L_var_13230	9285904	chr7	6059
PL08000	6677623	chrom1	100	L_var_13229	9284438	chr7	6058
PL08240	6693209	chrom1	101	L_var_13228	9217149	chr7	6057
PL08553	6710093	chrom1	102	L_var_13227	9184858	chr7	6056
PL11298	6790020	chrom1	103	L_var_13226	9171877	chr7	6055
PL08408	6845211	chrom1	104	L_var_13057	3328554	chr7	5945
PL08128	6886520	chrom1	105	L_var_13058	3383317	chr7	5946
PL10590	6905980	chrom1	106	L_var_13060	3439322	chr7	5947
PL10955	6978846	chrom1	107	L_var_13061	3527775	chr7	5948
PL08882	7014426	chrom1	108	L_var_13062	3563795	chr7	5949
PL09853	7272537	chrom1	110	L_var_13067	3846164	chr7	5950
PL09168	7378623	chrom1	111	L_var_13070	3986039	chr7	5951
PL08478	7454962	chrom1	112	L_var_13071	4021554	chr7	5952
PL09776	7507103	chrom1	113	L_var_13073	4132527	chr7	5953
PL09841	7606625	chrom1	114	L_var_13075	4220734	chr7	5955
PL10434	7658459	chrom1	115	L_var_13076	4260516	chr7	5956
PL08083	7658501	chrom1	116	L_var_13074	4169186	chr7	5954
PL10511	7730634	chrom1	117	L_var_13079	4337828	chr7	5957
PL09308	7825963	chrom1	118	L_var_13080	4415844	chr7	5958
PL09935	7826586	chrom1	119	L_var_13081	4416172	chr7	5959
PL10094	7844345	chrom1	120	L_var_13083	4430901	chr7	5960
PL08612	7926489	chrom1	122	L_var_13084	4491383	chr7	5961
PL08957	8012656	chrom1	123	L_var_13086	4575412	chr7	5962
PL10345	8026331	chrom1	124	L_var_13087	4610239	chr7	5963
PL08568	8235752	chrom1	125	L_var_13089	4747583	chr7	5964
PL11060	8258889	chrom1	126	L_var_13718	24611152	chr7	6404
PL10416	8352601	chrom1	127	L_var_13092	4859102	chr7	5965
PL11208	8517361	chrom1	128	L_var_13095	4951595	chr7	5966
PL08382	8546399	chrom1	129	L_var_13096	4960642	chr7	5967
PL11229	8640299	chrom1	130	L_var_13098	5066185	chr7	5968
PL09477	8914109	chrom1	131	L_var_13102	5270521	chr7	5969
PL09106	9004824	chrom1	132	L_var_13103	5333211	chr7	5970
PL09643	9016559	chrom1	133	L_var_13104	5366601	chr7	5971
PL11317	9031738	chrom1	134	L_var_13106	5393309	chr7	5973
PL09270	9054574	chrom1	135	L_var_13107	5427983	chr7	5974
PL11079	9074753	chrom1	136	L_var_13108	5428876	chr7	5975
PL08042	9141537	chrom1	137	L_var_13109	5446135	chr7	5976
PL11272	9176170	chrom1	138	L_var_13110	5488220	chr7	5977
PL10241	9209609	chrom1	139	L_var_13111	5561975	chr7	5978
PL09848	9334314	chrom1	140	L_var_13750	26046702	chr7	6425
PL11221	9334550	chrom1	141	L_var_13749	26043905	chr7	6424
PL10966	9659550	chrom1	143	L_var_13747	25698407	chr7	6422
PL08281	9670671	chrom1	144	L_var_13745	25682572	chr7	6421
PL08639	9679081	chrom1	145	L_var_13748	26025178	chr7	6423
PL08660	9781642	chrom1	146	L_var_13744	25642880	chr7	6420
PL08127	9929068	chrom1	148	L_var_13743	25611045	chr7	6419
PL10988	9991913	chrom1	149	L_var_13742	25606166	chr7	6418
PL11205	10030808	chrom1	150	L_var_13741	25567420	chr7	6416
PL10932	10030963	chrom1	151	L_var_13740	25567787	chr7	6417
PL08371	10056008	chrom1	152	L_var_13739	25539430	chr7	6415
PL09740	10371557	chrom1	153	L_var_13735	25233057	chr7	6414
PL08368	10376346	chrom1	154	L_var_13734	25214342	chr7	6413
PL09568	10645309	chrom1	155	L_var_13732	24994812	chr7	6412
PL08199	10735770	chrom1	156	L_var_13729	24904952	chr7	6411
PL09489	10781855	chrom1	157	L_var_13728	24879158	chr7	6410
PL10359	10807934	chrom1	158	L_var_13727	24832196	chr7	6409
PL09319	10824070	chrom1	159	L_var_13726	24824921	chr7	6408
PL10673	10868394	chrom1	160	L_var_13725	24760187	chr7	6407
PL09870	10919848	chrom1	161	L_var_13724	24734636	chr7	6406
PL09613	10933983	chrom1	162	L_var_13917	31350649	chr7	6542
PL10152	10942905	chrom1	163	L_var_13723	24717102	chr7	6405
PL11117	10961062	chrom1	164	L_var_13934	31732322	chr7	6550
PL08880	10985861	chrom1	165	L_var_13933	31714208	chr7	6549
PL10151	11040492	chrom1	166	L_var_13913	31265941	chr7	6541
PL09667	11048087	chrom1	167	L_var_13912	31192350	chr7	6540
PL09726	11177311	chrom1	168	L_var_13911	31115831	chr7	6539
PL09502	11305125	chrom1	169	L_var_13910	31009908	chr7	6538
PL09748	11318982	chrom1	170	L_var_13909	31009430	chr7	6537
PL08703	11359260	chrom1	171	L_var_13907	30965467	chr7	6535
PL08279	11646650	chrom1	172	L_var_13170	7487883	chr7	6017
PL08766	11668427	chrom1	173	L_var_13171	7512553	chr7	6018
PL09910	11698601	chrom1	174	L_var_13172	7524885	chr7	6019
PL09044	11709927	chrom1	175	L_var_13173	7527546	chr7	6020
PL09804	11737766	chrom1	176	L_var_13174	7563902	chr7	6021
PL09173	11778838	chrom1	177	L_var_13175	7586431	chr7	6022
PL09141	11846268	chrom1	178	L_var_13154	7136767	chr7	6008
PL09588	11878855	chrom1	179	L_var_13153	7100378	chr7	6007
PL11316	11976285	chrom1	180	L_var_13157	7205877	chr7	6009
PL08831	12028633	chrom1	181	L_var_14338	44061741	chr7	6839
PL10849	12126643	chrom1	182	L_var_14337	44043826	chr7	6838
PL10766	12261011	chrom1	183	L_var_14335	43994498	chr7	6837
PL10222	12315475	chrom1	184	L_var_14334	43952794	chr7	6836
PL08968	12758227	chrom1	185	L_var_14328	43798197	chr7	6834
PL09035	12789264	chrom1	187	L_var_14327	43786835	chr7	6833
PL10860	12870144	chrom1	188	L_var_14326	43731306	chr7	6832
PL08997	13277949	chrom1	189	L_var_14323	43438075	chr7	6831
PL09397	13380672	chrom1	190	L_var_14322	43360982	chr7	6830
PL09039	13458958	chrom1	192	L_var_13531	18720544	chr7	6259
PL10034	13484946	chrom1	193	L_var_13503	18230507	chr7	6242
PL09182	13590063	chrom1	194	L_var_13504	18257001	chr7	6243
PL09592	13622585	chrom1	195	L_var_13506	18288901	chr7	6244
PL11133	13640229	chrom1	196	L_var_13507	18299643	chr7	6245
PL08253	13683212	chrom1	197	L_var_13509	18325092	chr7	6246
PL10900	13776862	chrom1	198	L_var_13510	18353959	chr7	6247
PL10902	13779289	chrom1	199	L_var_13511	18388006	chr7	6248
PL10774	13806885	chrom1	200	L_var_13512	18393585	chr7	6249
PL10243	13895810	chrom1	202	L_var_13513	18430606	chr7	6250
PL09856	13914831	chrom1	203	L_var_13516	18445159	chr7	6251
PL08232	13942771	chrom1	204	L_var_13517	18474218	chr7	6252
PL08376	13970439	chrom1	205	L_var_13518	18493921	chr7	6253
PL08225	14046437	chrom1	206	L_var_13520	18542176	chr7	6254
PL09283	14065264	chrom1	207	L_var_13521	18596626	chr7	6255
PL11367	14099384	chrom1	208	L_var_13522	18613998	chr7	6256
PL09563	14138324	chrom1	209	L_var_13530	18711866	chr7	6258
PL08834	14193182	chrom1	210	L_var_13535	18847431	chr7	6262
PL11055	14227101	chrom1	211	L_var_13534	18809137	chr7	6261
PL10765	14275893	chrom1	212	L_var_14315	43229763	chr7	6825
PL10748	14410012	chrom1	213	L_var_13543	19162082	chr7	6267
PL09944	14430612	chrom1	214	L_var_13542	19102397	chr7	6266
PL09805	14456072	chrom1	215	L_var_13541	19087541	chr7	6265
PL11260	14509859	chrom1	216	L_var_13537	18972130	chr7	6264
PL11112	14663619	chrom1	217	L_var_13536	18930289	chr7	6263
PL09760	14767016	chrom1	218	L_var_13921	31427903	chr7	6543
PL08411	14787799	chrom1	219	L_var_13923	31474408	chr7	6544
PL09600	14844247	chrom1	220	L_var_13926	31556828	chr7	6545
PL08902	14907081	chrom1	221	L_var_13928	31593854	chr7	6546
PL09929	14943882	chrom1	222	L_var_13388	14374661	chr7	6158
PL08569	14981812	chrom1	223	L_var_13387	14330798	chr7	6156
PL09934	15098049	chrom1	225	L_var_14008	34421944	chr7	6604
PL09137	15162541	chrom1	226	L_var_14007	34360698	chr7	6603
PL10295	15188807	chrom1	227	L_var_14006	34340911	chr7	6601
PL08231	15188917	chrom1	228	L_var_14005	34341087	chr7	6602
PL10465	15264250	chrom1	229	L_var_14004	34221193	chr7	6600
PL09069	15329001	chrom1	230	L_var_14003	34197869	chr7	6599
PL10261	15370526	chrom1	231	L_var_14002	34157522	chr7	6598
PL08748	15399075	chrom1	232	L_var_14000	34140181	chr7	6596
PL09191	15399279	chrom1	233	L_var_14001	34140506	chr7	6597
PL11029	15427135	chrom1	234	L_var_13999	34107219	chr7	6595
PL09609	15533523	chrom1	236	L_var_13997	34070730	chr7	6594
PL09281	15642292	chrom1	237	L_var_13996	34025317	chr7	6593
PL08761	15692137	chrom1	238	L_var_13995	33927256	chr7	6592
PL08852	15755205	chrom1	239	L_var_13994	33892407	chr7	6591
PL10739	15922335	chrom1	240	L_var_13454	16689817	chr7	6203
PL10727	15948734	chrom1	241	L_var_13993	33846079	chr7	6590
PL10423	16077372	chrom1	242	L_var_13992	33766609	chr7	6589
PL08642	16119979	chrom1	243	L_var_13991	33709653	chr7	6588
PL08047	16260702	chrom1	244	L_var_13989	33603484	chr7	6587
PL09451	16283009	chrom1	245	L_var_13887	30460936	chr7	6519
PL08729	16289088	chrom1	246	L_var_13988	33571615	chr7	6586
PL10686	16345526	chrom1	247	L_var_13889	30507216	chr7	6521
PL08774	16369715	chrom1	248	L_var_13890	30546014	chr7	6522
PL08399	16456704	chrom1	249	L_var_13891	30593163	chr7	6523
PL09201	16464855	chrom1	250	L_var_13158	7234058	chr7	6010
PL09287	16523011	chrom1	251	L_var_13475	17468809	chr7	6222
PL08344	16568773	chrom1	252	L_var_13477	17514403	chr7	6223
PL10374	16607120	chrom1	253	L_var_13479	17532917	chr7	6224
PL08351	16647280	chrom1	254	L_var_13480	17564722	chr7	6225
PL08052	16663553	chrom1	255	L_var_13220	8968122	chr7	6052
PL09665	16683179	chrom1	256	L_var_13217	8932176	chr7	6049
PL10036	16683413	chrom1	257	L_var_13218	8932284	chr7	6050
PL11128	16738055	chrom1	258	L_var_13216	8904025	chr7	6048
PL10249	16766229	chrom1	259	L_var_13215	8864259	chr7	6047
PL08942	16795212	chrom1	260	L_var_13213	8824121	chr7	6046
PL09973	16821863	chrom1	261	L_var_13212	8778862	chr7	6045
PL09132	16844754	chrom1	262	L_var_13267	10340128	chr7	6083
PL10153	16909780	chrom1	263	L_var_13268	10413178	chr7	6084
PL09598	16995286	chrom1	264	L_var_13269	10478264	chr7	6085
PL09246	17018415	chrom1	265	L_var_13270	10508271	chr7	6086
PL09880	17067762	chrom1	266	L_var_13271	10563697	chr7	6087
PL09873	17162304	chrom1	267	L_var_13272	10613766	chr7	6088
PL10495	17169656	chrom1	268	L_var_13273	10683430	chr7	6089
PL10239	17221410	chrom1	269	L_var_13274	10762085	chr7	6090
PL08157	17234481	chrom1	270	L_var_13276	10797948	chr7	6091
PL10477	17315682	chrom1	271	L_var_13277	10829750	chr7	6092
PL10204	17325046	chrom1	272	L_var_13281	10854470	chr7	6094
PL11184	17337534	chrom1	273	L_var_14200	39978959	chr7	6744
PL09452	17358766	chrom1	274	L_var_14199	39953652	chr7	6743
PL11120	17397011	chrom1	275	L_var_14198	39919625	chr7	6742
PL08154	17418506	chrom1	276	L_var_14197	39900876	chr7	6741
PL09162	17443325	chrom1	277	L_var_14196	39897060	chr7	6740
PL08425	17670683	chrom1	278	L_var_14193	39682954	chr7	6738
PL11236	17697525	chrom1	279	L_var_14192	39682635	chr7	6737
PL11223	17712910	chrom1	280	L_var_14191	39662248	chr7	6736
PL09745	17713001	chrom1	281	L_var_14190	39655901	chr7	6735
PL08878	17756232	chrom1	282	L_var_14189	39618078	chr7	6734
PL08090	17762421	chrom1	283	L_var_14188	39611818	chr7	6733
PL08264	17776170	chrom1	284	L_var_14187	39578564	chr7	6732
PL09284	17821917	chrom1	285	L_var_14186	39542364	chr7	6731
PL09493	17840352	chrom1	286	L_var_14182	39457316	chr7	6729
PL10951	17840727	chrom1	287	L_var_14185	39514546	chr7	6730
PL09140	17929384	chrom1	288	L_var_14180	39408270	chr7	6728
PL09850	17929893	chrom1	289	L_var_14181	39408125	chr7	6727
PL09159	17961898	chrom1	290	L_var_14179	39375269	chr7	6726
PL10378	18071765	chrom1	291	L_var_14176	39292061	chr7	6725
PL07992	18099624	chrom1	292	L_var_14175	39268317	chr7	6724
PL09865	18136146	chrom1	293	L_var_14174	39239265	chr7	6723
PL10745	18157896	chrom1	294	L_var_14173	39216041	chr7	6722
PL09687	18163027	chrom1	295	L_var_14172	39210323	chr7	6721
PL10677	18173630	chrom1	296	L_var_14171	39193083	chr7	6720
PL08062	18249541	chrom1	297	L_var_14170	39150321	chr7	6719
PL09840	18356977	chrom1	298	L_var_14169	39061401	chr7	6718
PL08861	18383575	chrom1	299	L_var_13784	26830821	chr7	6447
PL08536	18398356	chrom1	300	L_var_14339	44066902	chr7	6840
PL10595	18413850	chrom1	301	L_var_14340	44085146	chr7	6841
PL08261	18676196	chrom1	302	L_var_13424	15978961	chr7	6183
PL10556	18760953	chrom1	303	L_var_13426	16065969	chr7	6184
PL11189	18791032	chrom1	304	L_var_13427	16074343	chr7	6185
PL10441	18805177	chrom1	305	L_var_13428	16078283	chr7	6186
PL10815	18836938	chrom1	306	L_var_13429	16118014	chr7	6187
PL08327	18942866	chrom1	307	L_var_13430	16156711	chr7	6188
PL08721	18994943	chrom1	308	L_var_13432	16241989	chr7	6189
PL09496	19023306	chrom1	309	L_var_13433	16278651	chr7	6190
PL08786	19055751	chrom1	310	L_var_13434	16312262	chr7	6191
PL09584	19057379	chrom1	311	L_var_13436	16312286	chr7	6192
PL10007	19094821	chrom1	312	L_var_13437	16353360	chr7	6193
PL11033	19130704	chrom1	313	L_var_13439	16436551	chr7	6194
PL09073	19154122	chrom1	314	L_var_13441	16451687	chr7	6195
PL10023	19270229	chrom1	315	L_var_13444	16562785	chr7	6196
PL09394	19274801	chrom1	316	L_var_13445	16576841	chr7	6197
PL08400	19287677	chrom1	317	L_var_13446	16590934	chr7	6198
PL08548	19289996	chrom1	318	L_var_13447	16591128	chr7	6199
PL09217	19320360	chrom1	319	L_var_13448	16619936	chr7	6200
PL11147	19364928	chrom1	320	L_var_13453	16638496	chr7	6202
PL10636	19370395	chrom1	321	L_var_14314	43174163	chr7	6824
PL09895	19448813	chrom1	322	L_var_14313	43123050	chr7	6823
PL10509	19494862	chrom1	323	L_var_14312	43101332	chr7	6822
PL08770	19521722	chrom1	324	L_var_14310	43072235	chr7	6821
PL10868	19600868	chrom1	325	L_var_14306	43025815	chr7	6819
PL08799	19617132	chrom1	326	L_var_14305	43006694	chr7	6818
PL09333	19691512	chrom1	327	L_var_14267	42199927	chr7	6795
PL10484	19720124	chrom1	328	L_var_14269	42227683	chr7	6796
PL08379	19772386	chrom1	329	L_var_14270	42244976	chr7	6797
PL10466	19810908	chrom1	330	L_var_14271	42266428	chr7	6798
PL09546	19831624	chrom1	332	L_var_14273	42289203	chr7	6799
PL08404	19834994	chrom1	333	L_var_14275	42343974	chr7	6800
PL08812	19839210	chrom1	334	L_var_14276	42351378	chr7	6801
PL11123	19881225	chrom1	335	L_var_14277	42396343	chr7	6802
PL11228	19902514	chrom1	336	L_var_14285	42547287	chr7	6808
PL10591	19907756	chrom1	337	L_var_14284	42526600	chr7	6807
PL07999	19920167	chrom1	338	L_var_14283	42515492	chr7	6806
PL08825	19956039	chrom1	339	L_var_14280	42468330	chr7	6804
PL10101	19959784	chrom1	340	L_var_14282	42496095	chr7	6805
PL09817	20003921	chrom1	341	L_var_14279	42421722	chr7	6803
PL10603	20043179	chrom1	342	L_var_14287	42583778	chr7	6809
PL09986	20094942	chrom1	343	L_var_14288	42623943	chr7	6810
PL09341	20133307	chrom1	344	L_var_14289	42675275	chr7	6811
PL09254	20136967	chrom1	345	L_var_14290	42675335	chr7	6812
PL09585	20194583	chrom1	346	L_var_14291	42725480	chr7	6813
PL10221	20316061	chrom1	347	L_var_14297	42856116	chr7	6814
PL10827	20320405	chrom1	348	L_var_13983	33431887	chr7	6583
PL11063	20390038	chrom1	349	L_var_13982	33383995	chr7	6582
PL10284	20395679	chrom1	350	L_var_13981	33376371	chr7	6581
PL08397	20408111	chrom1	351	L_var_13977	33229570	chr7	6579
PL08162	20437613	chrom1	352	L_var_13971	33055341	chr7	6575
PL08374	20503725	chrom1	353	L_var_13972	33081716	chr7	6576
PL10654	20530710	chrom1	354	L_var_13973	33111198	chr7	6577
PL09010	20605033	chrom1	355	L_var_13974	33140336	chr7	6578
PL08684	20669520	chrom1	356	L_var_13969	33018149	chr7	6574
PL10001	20686849	chrom1	357	L_var_13968	33007267	chr7	6573
PL09498	20731883	chrom1	358	L_var_13967	32940408	chr7	6572
PL08210	20805179	chrom1	359	L_var_13966	32894399	chr7	6571
PL10277	21094293	chrom1	361	L_var_13965	32829217	chr7	6570
PL10791	21137487	chrom1	362	L_var_13964	32802983	chr7	6569
PL09679	21207664	chrom1	363	L_var_13963	32757169	chr7	6568
PL09772	21286068	chrom1	364	L_var_13962	32721934	chr7	6567
PL08063	21296038	chrom1	365	L_var_14119	37571789	chr7	6678
PL09830	21404477	chrom1	366	L_var_13856	29671925	chr7	6501
PL09583	21435847	chrom1	367	L_var_13855	29661121	chr7	6500
PL11191	21506913	chrom1	368	L_var_13853	29612392	chr7	6499
PL08838	21595426	chrom1	369	L_var_13851	29488678	chr7	6498
PL09293	21658580	chrom1	370	L_var_13850	29420722	chr7	6497
PL09751	21688112	chrom1	371	L_var_13847	29357139	chr7	6495
PL11227	21734644	chrom1	372	L_var_13846	29328898	chr7	6494
PL10793	21760305	chrom1	373	L_var_13844	29314223	chr7	6493
PL09389	21761020	chrom1	374	L_var_13843	29312328	chr7	6492
PL08828	21800043	chrom1	375	L_var_13842	29285633	chr7	6491
PL10324	21915249	chrom1	376	L_var_13841	29255164	chr7	6489
PL08294	21985152	chrom1	378	L_var_13840	29255347	chr7	6490
PL09956	22133769	chrom1	379	L_var_13839	29164695	chr7	6487
PL09562	22142976	chrom1	380	L_var_13838	29164741	chr7	6488
PL09706	22161270	chrom1	381	L_var_13835	29142648	chr7	6486
PL08587	22265213	chrom1	382	L_var_13832	29091806	chr7	6484
PL09639	22299158	chrom1	383	L_var_13831	29055264	chr7	6483
PL08743	22314861	chrom1	384	L_var_13830	29033427	chr7	6482
PL09315	22367827	chrom1	385	L_var_13829	28982825	chr7	6481
PL10968	22377920	chrom1	386	L_var_13828	28951918	chr7	6480
PL08480	22454098	chrom1	387	L_var_13825	28902008	chr7	6479
PL09907	22519602	chrom1	388	L_var_13824	28849107	chr7	6478
PL10074	22604733	chrom1	389	L_var_13823	28775779	chr7	6477
PL10641	22655525	chrom1	390	L_var_13821	28721888	chr7	6476
PL10115	22664682	chrom1	391	L_var_13820	28707398	chr7	6475
PL10905	22712299	chrom1	392	L_var_13818	28672028	chr7	6473
PL08396	22712590	chrom1	393	L_var_13819	28679449	chr7	6474
PL10299	22727125	chrom1	394	L_var_13817	28653142	chr7	6472
PL09540	22749837	chrom1	395	L_var_13816	28626585	chr7	6471
PL09086	22769039	chrom1	396	L_var_13815	28596104	chr7	6470
PL10701	22780606	chrom1	397	L_var_13814	28594210	chr7	6469
PL09366	22827532	chrom1	398	L_var_13813	28542542	chr7	6468
PL10066	22839508	chrom1	399	L_var_13811	28532866	chr7	6467
PL08905	22840287	chrom1	400	L_var_13812	28532864	chr7	6466
PL10064	22865964	chrom1	401	L_var_13810	28501237	chr7	6465
PL08775	22896936	chrom1	402	L_var_13809	28498885	chr7	6464
PL08855	22911606	chrom1	403	L_var_13807	28465839	chr7	6463
PL08036	23032079	chrom1	404	L_var_13806	28417360	chr7	6462
PL10156	23072801	chrom1	405	L_var_13803	28377621	chr7	6460
PL08622	23122890	chrom1	406	L_var_13802	28363753	chr7	6459
PL07988	23164840	chrom1	407	L_var_13799	28316173	chr7	6457
PL08201	23167347	chrom1	408	L_var_13801	28329951	chr7	6458
PL10659	23320874	chrom1	409	L_var_13796	28191470	chr7	6455
PL08096	23458851	chrom1	410	L_var_13795	28170617	chr7	6454
PL08206	23613297	chrom1	411	L_var_13792	27533465	chr7	6453
PL08926	23909844	chrom1	412	L_var_13791	27230859	chr7	6452
PL09165	24088545	chrom1	413	L_var_13788	27038344	chr7	6451
PL10628	24109866	chrom1	414	L_var_13787	27030828	chr7	6450
PL11139	24191048	chrom1	415	L_var_13786	26945648	chr7	6449
PL08890	24281084	chrom1	416	L_var_13785	26855113	chr7	6448
PL08112	24647568	chrom1	422	L_var_13859	29768247	chr7	6502
PL08715	24710921	chrom1	423	L_var_13861	29828356	chr7	6503
PL09669	24732111	chrom1	424	L_var_13862	29856336	chr7	6504
PL10832	24805291	chrom1	425	L_var_13863	29936088	chr7	6505
PL10880	24834191	chrom1	426	L_var_13864	29940014	chr7	6506
PL08524	24848274	chrom1	427	L_var_13474	17459434	chr7	6221
PL10856	24939135	chrom1	429	L_var_13473	17415174	chr7	6220
PL09064	24946290	chrom1	430	L_var_13472	17401899	chr7	6219
PL10694	25049053	chrom1	431	L_var_13471	17322287	chr7	6218
PL09802	25116908	chrom1	432	L_var_13470	17311649	chr7	6217
PL11201	25184242	chrom1	433	L_var_13469	17262717	chr7	6216
PL08667	25271593	chrom1	434	L_var_13468	17194152	chr7	6215
PL10970	25297886	chrom1	435	L_var_13467	17162840	chr7	6214
PL08570	25350963	chrom1	436	L_var_13466	17103936	chr7	6213
PL10665	25440572	chrom1	437	L_var_13464	16962584	chr7	6211
PL08695	25466780	chrom1	438	L_var_14363	44784996	chr7	6860
PL09790	25467107	chrom1	439	L_var_14364	44785796	chr7	6861
PL08908	25495860	chrom1	440	L_var_14365	44810469	chr7	6862
PL08349	25517016	chrom1	441	L_var_14366	44823365	chr7	6863
PL11204	25561046	chrom1	442	L_var_14367	44852270	chr7	6864
PL11002	25582363	chrom1	443	L_var_14368	44874336	chr7	6865
PL09690	25662033	chrom1	444	L_var_14369	44943931	chr7	6866
PL08626	25728724	chrom1	445	L_var_14372	45031589	chr7	6867
PL10400	25781875	chrom1	446	L_var_14374	45109556	chr7	6868
PL10490	25822130	chrom1	448	L_var_14375	45125531	chr7	6869
PL08654	25847061	chrom1	449	L_var_14376	45151650	chr7	6870
PL10002	25873190	chrom1	450	L_var_14378	45257101	chr7	6871
PL09442	26038307	chrom1	451	L_var_14321	43360800	chr7	6829
PL10331	26105475	chrom1	452	L_var_14318	43313796	chr7	6828
PL11092	26124042	chrom1	453	L_var_14317	43288569	chr7	6827
PL09877	26258876	chrom1	454	L_var_14316	43248878	chr7	6826
PL10274	26326775	chrom1	457	L_var_13365	13821348	chr7	6144
PL08118	26372089	chrom1	458	L_var_13549	19353395	chr7	6272
PL08990	26428579	chrom1	459	L_var_13548	19304239	chr7	6271
PL08278	26459924	chrom1	460	L_var_13546	19300142	chr7	6270
PL10828	26519466	chrom1	461	L_var_13550	19396464	chr7	6273
PL08787	26519829	chrom1	462	L_var_13551	19400904	chr7	6274
PL08390	26550959	chrom1	463	L_var_13552	19425682	chr7	6275
PL08653	26574887	chrom1	464	L_var_13554	19440103	chr7	6276
PL08093	26598293	chrom1	465	L_var_13555	19458811	chr7	6277
PL09596	26712344	chrom1	466	L_var_13556	19526057	chr7	6278
PL08419	26742874	chrom1	467	L_var_13558	19577396	chr7	6279
PL08181	26774555	chrom1	468	L_var_13562	19670439	chr7	6281
PL08420	26816306	chrom1	469	L_var_13563	19688254	chr7	6282
PL08221	27055513	chrom1	471	L_var_13564	19865899	chr7	6283
PL08311	27115488	chrom1	472	L_var_13565	19895363	chr7	6284
PL08592	27159173	chrom1	473	L_var_13567	19938623	chr7	6285
PL08726	27293654	chrom1	474	L_var_13568	19983977	chr7	6286
PL10391	27317166	chrom1	475	L_var_13569	20079336	chr7	6287
PL10937	27362088	chrom1	476	L_var_13570	20122156	chr7	6288
PL10502	27384497	chrom1	477	L_var_13571	20132305	chr7	6289
PL10944	27408064	chrom1	478	L_var_13573	20153228	chr7	6290
PL11143	27463283	chrom1	479	L_var_13574	20207479	chr7	6291
PL10663	27496050	chrom1	480	L_var_13575	20210137	chr7	6292
PL10651	27631428	chrom1	483	L_var_13577	20320248	chr7	6294
PL08330	27656912	chrom1	484	L_var_13576	20290159	chr7	6293
PL09220	27725034	chrom1	486	L_var_13579	20371256	chr7	6295
PL08512	27750598	chrom1	487	L_var_13580	20419417	chr7	6296
PL08607	27752527	chrom1	488	L_var_13582	20443648	chr7	6297
PL09265	27803605	chrom1	489	L_var_13583	20498932	chr7	6298
