s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg	s1tot	s2tot	n	fishp	padj	scol
52	PL10955	6978846	chrom1	107	L_var_13061	3527775	chr7	5948	A	1380	999	971	0	0	S
53	PL08882	7014426	chrom1	108	L_var_13062	3563795	chr7	5949	NA	1380	999	971	0	0	S
54	PL09853	7272537	chrom1	110	L_var_13067	3846164	chr7	5950	A	1380	999	971	0	0	S
55	PL09168	7378623	chrom1	111	L_var_13070	3986039	chr7	5951	A	1380	999	971	0	0	S
56	PL08478	7454962	chrom1	112	L_var_13071	4021554	chr7	5952	NA	1380	999	971	0	0	S
57	PL09776	7507103	chrom1	113	L_var_13073	4132527	chr7	5953	A	1380	999	971	0	0	S
58	PL09841	7606625	chrom1	114	L_var_13075	4220734	chr7	5955	A	1380	999	971	0	0	S
59	PL10434	7658459	chrom1	115	L_var_13076	4260516	chr7	5956	A	1380	999	971	0	0	S
60	PL08083	7658501	chrom1	116	L_var_13074	4169186	chr7	5954	A	1380	999	971	0	0	S
61	PL10511	7730634	chrom1	117	L_var_13079	4337828	chr7	5957	A	1380	999	971	0	0	S
62	PL09308	7825963	chrom1	118	L_var_13080	4415844	chr7	5958	A	1380	999	971	0	0	S
63	PL09935	7826586	chrom1	119	L_var_13081	4416172	chr7	5959	C1	1380	999	971	0	0	S
64	PL10094	7844345	chrom1	120	L_var_13083	4430901	chr7	5960	A	1380	999	971	0	0	S
65	PL08612	7926489	chrom1	122	L_var_13084	4491383	chr7	5961	NA	1380	999	971	0	0	S
66	PL08957	8012656	chrom1	123	L_var_13086	4575412	chr7	5962	NA	1380	999	971	0	0	S
67	PL10345	8026331	chrom1	124	L_var_13087	4610239	chr7	5963	A	1380	999	971	0	0	S
68	PL08568	8235752	chrom1	125	L_var_13089	4747583	chr7	5964	NA	1380	999	971	0	0	S
69	PL11060	8258889	chrom1	126	L_var_13718	24611152	chr7	6404	A	1380	999	971	0	0	S
70	PL10416	8352601	chrom1	127	L_var_13092	4859102	chr7	5965	A	1380	999	971	0	0	S
71	PL11208	8517361	chrom1	128	L_var_13095	4951595	chr7	5966	A	1380	999	971	0	0	S
72	PL08382	8546399	chrom1	129	L_var_13096	4960642	chr7	5967	NA	1380	999	971	0	0	S
73	PL11229	8640299	chrom1	130	L_var_13098	5066185	chr7	5968	NA	1380	999	971	0	0	S
74	PL09477	8914109	chrom1	131	L_var_13102	5270521	chr7	5969	A	1380	999	971	0	0	S
75	PL09106	9004824	chrom1	132	L_var_13103	5333211	chr7	5970	A	1380	999	971	0	0	S
76	PL09643	9016559	chrom1	133	L_var_13104	5366601	chr7	5971	A	1380	999	971	0	0	S
77	PL11317	9031738	chrom1	134	L_var_13106	5393309	chr7	5973	NA	1380	999	971	0	0	S
78	PL09270	9054574	chrom1	135	L_var_13107	5427983	chr7	5974	A	1380	999	971	0	0	S
79	PL11079	9074753	chrom1	136	L_var_13108	5428876	chr7	5975	A	1380	999	971	0	0	S
80	PL08042	9141537	chrom1	137	L_var_13109	5446135	chr7	5976	D	1380	999	971	0	0	S
81	PL11272	9176170	chrom1	138	L_var_13110	5488220	chr7	5977	A	1380	999	971	0	0	S
82	PL10241	9209609	chrom1	139	L_var_13111	5561975	chr7	5978	NA	1380	999	971	0	0	S
83	PL09848	9334314	chrom1	140	L_var_13750	26046702	chr7	6425	A	1380	999	971	0	0	S
84	PL11221	9334550	chrom1	141	L_var_13749	26043905	chr7	6424	N	1380	999	971	0	0	S
85	PL10966	9659550	chrom1	143	L_var_13747	25698407	chr7	6422	A	1380	999	971	0	0	S
86	PL08281	9670671	chrom1	144	L_var_13745	25682572	chr7	6421	NA	1380	999	971	0	0	S
87	PL08639	9679081	chrom1	145	L_var_13748	26025178	chr7	6423	NA	1380	999	971	0	0	S
88	PL08660	9781642	chrom1	146	L_var_13744	25642880	chr7	6420	NA	1380	999	971	0	0	S
89	PL08127	9929068	chrom1	148	L_var_13743	25611045	chr7	6419	NA	1380	999	971	0	0	S
90	PL10988	9991913	chrom1	149	L_var_13742	25606166	chr7	6418	A	1380	999	971	0	0	S
91	PL11205	10030808	chrom1	150	L_var_13741	25567420	chr7	6416	A	1380	999	971	0	0	S
92	PL10932	10030963	chrom1	151	L_var_13740	25567787	chr7	6417	NA	1380	999	971	0	0	S
93	PL08371	10056008	chrom1	152	L_var_13739	25539430	chr7	6415	NA	1380	999	971	0	0	S
94	PL09740	10371557	chrom1	153	L_var_13735	25233057	chr7	6414	A	1380	999	971	0	0	S
95	PL08368	10376346	chrom1	154	L_var_13734	25214342	chr7	6413	NA	1380	999	971	0	0	S
96	PL09568	10645309	chrom1	155	L_var_13732	24994812	chr7	6412	NA	1380	999	971	0	0	S
97	PL08199	10735770	chrom1	156	L_var_13729	24904952	chr7	6411	NA	1380	999	971	0	0	S
98	PL09489	10781855	chrom1	157	L_var_13728	24879158	chr7	6410	B1	1380	999	971	0	0	S
99	PL10359	10807934	chrom1	158	L_var_13727	24832196	chr7	6409	A	1380	999	971	0	0	S
100	PL09319	10824070	chrom1	159	L_var_13726	24824921	chr7	6408	A	1380	999	971	0	0	S
101	PL10673	10868394	chrom1	160	L_var_13725	24760187	chr7	6407	A	1380	999	971	0	0	S
102	PL09870	10919848	chrom1	161	L_var_13724	24734636	chr7	6406	P	1380	999	971	0	0	S
103	PL09613	10933983	chrom1	162	L_var_13917	31350649	chr7	6542	NA	1380	999	971	0	0	S
104	PL10152	10942905	chrom1	163	L_var_13723	24717102	chr7	6405	NA	1380	999	971	0	0	S
105	PL11117	10961062	chrom1	164	L_var_13934	31732322	chr7	6550	NA	1380	999	971	0	0	S
106	PL08880	10985861	chrom1	165	L_var_13933	31714208	chr7	6549	A	1380	999	971	0	0	S
107	PL10151	11040492	chrom1	166	L_var_13913	31265941	chr7	6541	A	1380	999	971	0	0	S
108	PL09667	11048087	chrom1	167	L_var_13912	31192350	chr7	6540	A	1380	999	971	0	0	S
109	PL09726	11177311	chrom1	168	L_var_13911	31115831	chr7	6539	A	1380	999	971	0	0	S
110	PL09502	11305125	chrom1	169	L_var_13910	31009908	chr7	6538	A	1380	999	971	0	0	S
111	PL09748	11318982	chrom1	170	L_var_13909	31009430	chr7	6537	A	1380	999	971	0	0	S
112	PL08703	11359260	chrom1	171	L_var_13907	30965467	chr7	6535	NA	1380	999	971	0	0	S
113	PL08279	11646650	chrom1	172	L_var_13170	7487883	chr7	6017	A	1380	999	971	0	0	S
114	PL08766	11668427	chrom1	173	L_var_13171	7512553	chr7	6018	NA	1380	999	971	0	0	S
115	PL09910	11698601	chrom1	174	L_var_13172	7524885	chr7	6019	A	1380	999	971	0	0	S
116	PL09044	11709927	chrom1	175	L_var_13173	7527546	chr7	6020	A	1380	999	971	0	0	S
117	PL09804	11737766	chrom1	176	L_var_13174	7563902	chr7	6021	B1	1380	999	971	0	0	S
118	PL09173	11778838	chrom1	177	L_var_13175	7586431	chr7	6022	NA	1380	999	971	0	0	S
119	PL09141	11846268	chrom1	178	L_var_13154	7136767	chr7	6008	A	1380	999	971	0	0	S
120	PL09588	11878855	chrom1	179	L_var_13153	7100378	chr7	6007	A	1380	999	971	0	0	S
121	PL11316	11976285	chrom1	180	L_var_13157	7205877	chr7	6009	A	1380	999	971	0	0	S
122	PL08831	12028633	chrom1	181	L_var_14338	44061741	chr7	6839	NA	1380	999	971	0	0	S
123	PL10849	12126643	chrom1	182	L_var_14337	44043826	chr7	6838	NA	1380	999	971	0	0	S
124	PL10766	12261011	chrom1	183	L_var_14335	43994498	chr7	6837	NA	1380	999	971	0	0	S
125	PL10222	12315475	chrom1	184	L_var_14334	43952794	chr7	6836	A	1380	999	971	0	0	S
126	PL08968	12758227	chrom1	185	L_var_14328	43798197	chr7	6834	NA	1380	999	971	0	0	S
127	PL09035	12789264	chrom1	187	L_var_14327	43786835	chr7	6833	NA	1380	999	971	0	0	S
128	PL10860	12870144	chrom1	188	L_var_14326	43731306	chr7	6832	A	1380	999	971	0	0	S
129	PL08997	13277949	chrom1	189	L_var_14323	43438075	chr7	6831	A	1380	999	971	0	0	S
130	PL09397	13380672	chrom1	190	L_var_14322	43360982	chr7	6830	NA	1380	999	971	0	0	S
131	PL09039	13458958	chrom1	192	L_var_13531	18720544	chr7	6259	A	1380	999	971	0	0	S
132	PL10034	13484946	chrom1	193	L_var_13503	18230507	chr7	6242	A	1380	999	971	0	0	S
133	PL09182	13590063	chrom1	194	L_var_13504	18257001	chr7	6243	A	1380	999	971	0	0	S
134	PL09592	13622585	chrom1	195	L_var_13506	18288901	chr7	6244	A	1380	999	971	0	0	S
135	PL11133	13640229	chrom1	196	L_var_13507	18299643	chr7	6245	NA	1380	999	971	0	0	S
136	PL08253	13683212	chrom1	197	L_var_13509	18325092	chr7	6246	A	1380	999	971	0	0	S
137	PL10900	13776862	chrom1	198	L_var_13510	18353959	chr7	6247	N	1380	999	971	0	0	S
138	PL10902	13779289	chrom1	199	L_var_13511	18388006	chr7	6248	A	1380	999	971	0	0	S
139	PL10774	13806885	chrom1	200	L_var_13512	18393585	chr7	6249	A	1380	999	971	0	0	S
140	PL10243	13895810	chrom1	202	L_var_13513	18430606	chr7	6250	A	1380	999	971	0	0	S
141	PL09856	13914831	chrom1	203	L_var_13516	18445159	chr7	6251	A	1380	999	971	0	0	S
142	PL08232	13942771	chrom1	204	L_var_13517	18474218	chr7	6252	A	1380	999	971	0	0	S
143	PL08376	13970439	chrom1	205	L_var_13518	18493921	chr7	6253	J2	1380	999	971	0	0	S
144	PL08225	14046437	chrom1	206	L_var_13520	18542176	chr7	6254	A	1380	999	971	0	0	S
145	PL09283	14065264	chrom1	207	L_var_13521	18596626	chr7	6255	NA	1380	999	971	0	0	S
146	PL11367	14099384	chrom1	208	L_var_13522	18613998	chr7	6256	A	1380	999	971	0	0	S
147	PL09563	14138324	chrom1	209	L_var_13530	18711866	chr7	6258	A	1380	999	971	0	0	S
148	PL08834	14193182	chrom1	210	L_var_13535	18847431	chr7	6262	A	1380	999	971	0	0	S
149	PL11055	14227101	chrom1	211	L_var_13534	18809137	chr7	6261	NA	1380	999	971	0	0	S
150	PL10765	14275893	chrom1	212	L_var_14315	43229763	chr7	6825	A	1380	999	971	0	0	S
151	PL10748	14410012	chrom1	213	L_var_13543	19162082	chr7	6267	A	1380	999	971	0	0	S
152	PL09944	14430612	chrom1	214	L_var_13542	19102397	chr7	6266	A	1380	999	971	0	0	S
153	PL09805	14456072	chrom1	215	L_var_13541	19087541	chr7	6265	NA	1380	999	971	0	0	S
154	PL11260	14509859	chrom1	216	L_var_13537	18972130	chr7	6264	NA	1380	999	971	0	0	S
155	PL11112	14663619	chrom1	217	L_var_13536	18930289	chr7	6263	A	1380	999	971	0	0	S
156	PL09760	14767016	chrom1	218	L_var_13921	31427903	chr7	6543	NA	1380	999	971	0	0	S
157	PL08411	14787799	chrom1	219	L_var_13923	31474408	chr7	6544	NA	1380	999	971	0	0	S
158	PL09600	14844247	chrom1	220	L_var_13926	31556828	chr7	6545	NA	1380	999	971	0	0	S
159	PL08902	14907081	chrom1	221	L_var_13928	31593854	chr7	6546	H	1380	999	971	0	0	S
160	PL09929	14943882	chrom1	222	L_var_13388	14374661	chr7	6158	A	1380	999	971	0	0	S
161	PL08569	14981812	chrom1	223	L_var_13387	14330798	chr7	6156	NA	1380	999	971	0	0	S
162	PL09934	15098049	chrom1	225	L_var_14008	34421944	chr7	6604	A	1380	999	971	0	0	S
163	PL09137	15162541	chrom1	226	L_var_14007	34360698	chr7	6603	NA	1380	999	971	0	0	S
164	PL10295	15188807	chrom1	227	L_var_14006	34340911	chr7	6601	A	1380	999	971	0	0	S
165	PL08231	15188917	chrom1	228	L_var_14005	34341087	chr7	6602	A	1380	999	971	0	0	S
166	PL10465	15264250	chrom1	229	L_var_14004	34221193	chr7	6600	NA	1380	999	971	0	0	S
167	PL09069	15329001	chrom1	230	L_var_14003	34197869	chr7	6599	A	1380	999	971	0	0	S
168	PL10261	15370526	chrom1	231	L_var_14002	34157522	chr7	6598	NA	1380	999	971	0	0	S
169	PL08748	15399075	chrom1	232	L_var_14000	34140181	chr7	6596	A	1380	999	971	0	0	S
170	PL09191	15399279	chrom1	233	L_var_14001	34140506	chr7	6597	A	1380	999	971	0	0	S
171	PL11029	15427135	chrom1	234	L_var_13999	34107219	chr7	6595	Q	1380	999	971	0	0	S
172	PL09609	15533523	chrom1	236	L_var_13997	34070730	chr7	6594	A	1380	999	971	0	0	S
173	PL09281	15642292	chrom1	237	L_var_13996	34025317	chr7	6593	A	1380	999	971	0	0	S
174	PL08761	15692137	chrom1	238	L_var_13995	33927256	chr7	6592	NA	1380	999	971	0	0	S
175	PL08852	15755205	chrom1	239	L_var_13994	33892407	chr7	6591	NA	1380	999	971	0	0	S
176	PL10739	15922335	chrom1	240	L_var_13454	16689817	chr7	6203	NA	1380	999	971	0	0	S
177	PL10727	15948734	chrom1	241	L_var_13993	33846079	chr7	6590	A	1380	999	971	0	0	S
178	PL10423	16077372	chrom1	242	L_var_13992	33766609	chr7	6589	A	1380	999	971	0	0	S
179	PL08642	16119979	chrom1	243	L_var_13991	33709653	chr7	6588	NA	1380	999	971	0	0	S
180	PL08047	16260702	chrom1	244	L_var_13989	33603484	chr7	6587	A	1380	999	971	0	0	S
181	PL09451	16283009	chrom1	245	L_var_13887	30460936	chr7	6519	NA	1380	999	971	0	0	S
182	PL08729	16289088	chrom1	246	L_var_13988	33571615	chr7	6586	NA	1380	999	971	0	0	S
183	PL10686	16345526	chrom1	247	L_var_13889	30507216	chr7	6521	NA	1380	999	971	0	0	S
184	PL08774	16369715	chrom1	248	L_var_13890	30546014	chr7	6522	NA	1380	999	971	0	0	S
185	PL08399	16456704	chrom1	249	L_var_13891	30593163	chr7	6523	A	1380	999	971	0	0	S
186	PL09201	16464855	chrom1	250	L_var_13158	7234058	chr7	6010	A	1380	999	971	0	0	S
187	PL09287	16523011	chrom1	251	L_var_13475	17468809	chr7	6222	NA	1380	999	971	0	0	S
188	PL08344	16568773	chrom1	252	L_var_13477	17514403	chr7	6223	A	1380	999	971	0	0	S
189	PL10374	16607120	chrom1	253	L_var_13479	17532917	chr7	6224	NA	1380	999	971	0	0	S
190	PL08351	16647280	chrom1	254	L_var_13480	17564722	chr7	6225	NA	1380	999	971	0	0	S
191	PL08052	16663553	chrom1	255	L_var_13220	8968122	chr7	6052	A	1380	999	971	0	0	S
192	PL09665	16683179	chrom1	256	L_var_13217	8932176	chr7	6049	A	1380	999	971	0	0	S
193	PL10036	16683413	chrom1	257	L_var_13218	8932284	chr7	6050	NA	1380	999	971	0	0	S
194	PL11128	16738055	chrom1	258	L_var_13216	8904025	chr7	6048	NA	1380	999	971	0	0	S
195	PL10249	16766229	chrom1	259	L_var_13215	8864259	chr7	6047	B2	1380	999	971	0	0	S
196	PL08942	16795212	chrom1	260	L_var_13213	8824121	chr7	6046	A	1380	999	971	0	0	S
197	PL09973	16821863	chrom1	261	L_var_13212	8778862	chr7	6045	NA	1380	999	971	0	0	S
198	PL09132	16844754	chrom1	262	L_var_13267	10340128	chr7	6083	A	1380	999	971	0	0	S
199	PL10153	16909780	chrom1	263	L_var_13268	10413178	chr7	6084	A	1380	999	971	0	0	S
200	PL09598	16995286	chrom1	264	L_var_13269	10478264	chr7	6085	A	1380	999	971	0	0	S
201	PL09246	17018415	chrom1	265	L_var_13270	10508271	chr7	6086	NA	1380	999	971	0	0	S
202	PL09880	17067762	chrom1	266	L_var_13271	10563697	chr7	6087	A	1380	999	971	0	0	S
203	PL09873	17162304	chrom1	267	L_var_13272	10613766	chr7	6088	A	1380	999	971	0	0	S
204	PL10495	17169656	chrom1	268	L_var_13273	10683430	chr7	6089	NA	1380	999	971	0	0	S
205	PL10239	17221410	chrom1	269	L_var_13274	10762085	chr7	6090	A	1380	999	971	0	0	S
206	PL08157	17234481	chrom1	270	L_var_13276	10797948	chr7	6091	J2	1380	999	971	0	0	S
207	PL10477	17315682	chrom1	271	L_var_13277	10829750	chr7	6092	A	1380	999	971	0	0	S
208	PL10204	17325046	chrom1	272	L_var_13281	10854470	chr7	6094	NA	1380	999	971	0	0	S
209	PL11184	17337534	chrom1	273	L_var_14200	39978959	chr7	6744	A	1380	999	971	0	0	S
210	PL09452	17358766	chrom1	274	L_var_14199	39953652	chr7	6743	A	1380	999	971	0	0	S
211	PL11120	17397011	chrom1	275	L_var_14198	39919625	chr7	6742	NA	1380	999	971	0	0	S
212	PL08154	17418506	chrom1	276	L_var_14197	39900876	chr7	6741	A	1380	999	971	0	0	S
213	PL09162	17443325	chrom1	277	L_var_14196	39897060	chr7	6740	A	1380	999	971	0	0	S
214	PL08425	17670683	chrom1	278	L_var_14193	39682954	chr7	6738	NA	1380	999	971	0	0	S
215	PL11236	17697525	chrom1	279	L_var_14192	39682635	chr7	6737	NA	1380	999	971	0	0	S
216	PL11223	17712910	chrom1	280	L_var_14191	39662248	chr7	6736	A	1380	999	971	0	0	S
217	PL09745	17713001	chrom1	281	L_var_14190	39655901	chr7	6735	A	1380	999	971	0	0	S
218	PL08878	17756232	chrom1	282	L_var_14189	39618078	chr7	6734	A	1380	999	971	0	0	S
219	PL08090	17762421	chrom1	283	L_var_14188	39611818	chr7	6733	NA	1380	999	971	0	0	S
220	PL08264	17776170	chrom1	284	L_var_14187	39578564	chr7	6732	A	1380	999	971	0	0	S
221	PL09284	17821917	chrom1	285	L_var_14186	39542364	chr7	6731	A	1380	999	971	0	0	S
222	PL09493	17840352	chrom1	286	L_var_14182	39457316	chr7	6729	A	1380	999	971	0	0	S
223	PL10951	17840727	chrom1	287	L_var_14185	39514546	chr7	6730	A	1380	999	971	0	0	S
224	PL09140	17929384	chrom1	288	L_var_14180	39408270	chr7	6728	A	1380	999	971	0	0	S
225	PL09850	17929893	chrom1	289	L_var_14181	39408125	chr7	6727	A	1380	999	971	0	0	S
226	PL09159	17961898	chrom1	290	L_var_14179	39375269	chr7	6726	NA	1380	999	971	0	0	S
227	PL10378	18071765	chrom1	291	L_var_14176	39292061	chr7	6725	NA	1380	999	971	0	0	S
228	PL07992	18099624	chrom1	292	L_var_14175	39268317	chr7	6724	NA	1380	999	971	0	0	S
229	PL09865	18136146	chrom1	293	L_var_14174	39239265	chr7	6723	A	1380	999	971	0	0	S
230	PL10745	18157896	chrom1	294	L_var_14173	39216041	chr7	6722	A	1380	999	971	0	0	S
231	PL09687	18163027	chrom1	295	L_var_14172	39210323	chr7	6721	A	1380	999	971	0	0	S
232	PL10677	18173630	chrom1	296	L_var_14171	39193083	chr7	6720	A	1380	999	971	0	0	S
233	PL08062	18249541	chrom1	297	L_var_14170	39150321	chr7	6719	A	1380	999	971	0	0	S
234	PL09840	18356977	chrom1	298	L_var_14169	39061401	chr7	6718	A	1380	999	971	0	0	S
235	PL08861	18383575	chrom1	299	L_var_13784	26830821	chr7	6447	NA	1380	999	971	0	0	S
236	PL08536	18398356	chrom1	300	L_var_14339	44066902	chr7	6840	NA	1380	999	971	0	0	S
237	PL10595	18413850	chrom1	301	L_var_14340	44085146	chr7	6841	NA	1380	999	971	0	0	S
238	PL08261	18676196	chrom1	302	L_var_13424	15978961	chr7	6183	A	1380	999	971	0	0	S
239	PL10556	18760953	chrom1	303	L_var_13426	16065969	chr7	6184	A	1380	999	971	0	0	S
240	PL11189	18791032	chrom1	304	L_var_13427	16074343	chr7	6185	D	1380	999	971	0	0	S
241	PL10441	18805177	chrom1	305	L_var_13428	16078283	chr7	6186	NA	1380	999	971	0	0	S
242	PL10815	18836938	chrom1	306	L_var_13429	16118014	chr7	6187	A	1380	999	971	0	0	S
243	PL08327	18942866	chrom1	307	L_var_13430	16156711	chr7	6188	A	1380	999	971	0	0	S
244	PL08721	18994943	chrom1	308	L_var_13432	16241989	chr7	6189	A	1380	999	971	0	0	S
245	PL09496	19023306	chrom1	309	L_var_13433	16278651	chr7	6190	A	1380	999	971	0	0	S
246	PL08786	19055751	chrom1	310	L_var_13434	16312262	chr7	6191	B1	1380	999	971	0	0	S
247	PL09584	19057379	chrom1	311	L_var_13436	16312286	chr7	6192	A	1380	999	971	0	0	S
248	PL10007	19094821	chrom1	312	L_var_13437	16353360	chr7	6193	A	1380	999	971	0	0	S
249	PL11033	19130704	chrom1	313	L_var_13439	16436551	chr7	6194	J2	1380	999	971	0	0	S
250	PL09073	19154122	chrom1	314	L_var_13441	16451687	chr7	6195	A	1380	999	971	0	0	S
251	PL10023	19270229	chrom1	315	L_var_13444	16562785	chr7	6196	A	1380	999	971	0	0	S
252	PL09394	19274801	chrom1	316	L_var_13445	16576841	chr7	6197	A	1380	999	971	0	0	S
253	PL08400	19287677	chrom1	317	L_var_13446	16590934	chr7	6198	A	1380	999	971	0	0	S
254	PL08548	19289996	chrom1	318	L_var_13447	16591128	chr7	6199	A	1380	999	971	0	0	S
255	PL09217	19320360	chrom1	319	L_var_13448	16619936	chr7	6200	N	1380	999	971	0	0	S
256	PL11147	19364928	chrom1	320	L_var_13453	16638496	chr7	6202	NA	1380	999	971	0	0	S
257	PL10636	19370395	chrom1	321	L_var_14314	43174163	chr7	6824	NA	1380	999	971	0	0	S
258	PL09895	19448813	chrom1	322	L_var_14313	43123050	chr7	6823	NA	1380	999	971	0	0	S
259	PL10509	19494862	chrom1	323	L_var_14312	43101332	chr7	6822	NA	1380	999	971	0	0	S
260	PL08770	19521722	chrom1	324	L_var_14310	43072235	chr7	6821	A	1380	999	971	0	0	S
261	PL10868	19600868	chrom1	325	L_var_14306	43025815	chr7	6819	A	1380	999	971	0	0	S
262	PL08799	19617132	chrom1	326	L_var_14305	43006694	chr7	6818	A	1380	999	971	0	0	S
263	PL09333	19691512	chrom1	327	L_var_14267	42199927	chr7	6795	A	1380	999	971	0	0	S
264	PL10484	19720124	chrom1	328	L_var_14269	42227683	chr7	6796	A	1380	999	971	0	0	S
265	PL08379	19772386	chrom1	329	L_var_14270	42244976	chr7	6797	A	1380	999	971	0	0	S
266	PL10466	19810908	chrom1	330	L_var_14271	42266428	chr7	6798	NA	1380	999	971	0	0	S
267	PL09546	19831624	chrom1	332	L_var_14273	42289203	chr7	6799	NA	1380	999	971	0	0	S
