s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg
L_var_01711	60158559	chr1	487	g108220	26395890	scaffold_19	2658	K
L_var_01775	62110736	chr1	499	g111357	41983106	scaffold_19	2804	K
L_var_01888	65780613	chr1	520	g111666	43811371	scaffold_19	2830	K
L_var_01896	66152267	chr1	523	g106264	16730227	scaffold_19	2550	K
L_var_02159	73678619	chr1	595	g103938	6744917	scaffold_19	2439	K
L_var_02272	77186867	chr1	623	g107971	25226160	scaffold_19	2644	K
L_var_02273	77218962	chr1	624	g107970	25220561	scaffold_19	2643	K
L_var_02329	78845323	chr1	642	g107780	24292296	scaffold_19	2637	K
L_var_02501	84673817	chr1	696	g109658	33144867	scaffold_19	2706	K
L_var_02668	90198844	chr1	748	g105529	13245568	scaffold_19	2509	K
L_var_00128	5457481	chr1	7	g20278	32845170	scaffold_11	3205	F
L_var_00129	5491471	chr1	8	g15357	10217630	scaffold_11	2995	F
L_var_00133	5652782	chr1	9	g14234	4623222	scaffold_11	2951	F
L_var_00151	6280195	chr1	10	g16864	17359158	scaffold_11	3055	F
L_var_00156	6483767	chr1	12	g18970	26870167	scaffold_11	3154	F
L_var_00157	6519602	chr1	13	g16249	14326672	scaffold_11	3030	F
L_var_00159	6580273	chr1	14	g17919	22521413	scaffold_11	3110	F
L_var_00161	6665670	chr1	15	g18525	24792472	scaffold_11	3137	F
L_var_00163	6722992	chr1	16	g18533	24816589	scaffold_11	3138	F
L_var_00166	6866372	chr1	17	g21812	40070328	scaffold_11	3261	F
L_var_00175	7136063	chr1	18	g14107	3858767	scaffold_11	2947	F
L_var_00184	7439839	chr1	20	g17864	22228897	scaffold_11	3108	F
L_var_00199	8048086	chr1	21	g22716	43625912	scaffold_11	3289	F
L_var_00205	8817371	chr1	22	g16952	17969631	scaffold_11	3058	F
L_var_00208	8964766	chr1	23	g14775	7245251	scaffold_11	2973	F
L_var_00209	9057236	chr1	24	g22003	40739009	scaffold_11	3270	F
L_var_00218	9160108	chr1	25	g21557	38886788	scaffold_11	3251	F
L_var_00221	9208133	chr1	26	g18245	23803073	scaffold_11	3125	F
L_var_00231	9365340	chr1	28	g17314	19637474	scaffold_11	3068	F
L_var_00232	9436206	chr1	29	g17619	20789549	scaffold_11	3085	F
L_var_00233	9526787	chr1	30	g17630	20899424	scaffold_11	3086	F
L_var_00234	9543201	chr1	31	g19992	31638931	scaffold_11	3197	F
L_var_00238	9595258	chr1	32	g17652	21073307	scaffold_11	3088	F
L_var_00242	9708025	chr1	33	g16985	18103370	scaffold_11	3060	F
L_var_00244	9744393	chr1	34	g14079	3745165	scaffold_11	2942	F
L_var_00246	9889211	chr1	35	g14052	3612244	scaffold_11	2941	F
L_var_00252	10045952	chr1	36	g13320	190248	scaffold_11	2912	F
L_var_00253	10115233	chr1	37	g15542	11170434	scaffold_11	3005	F
L_var_00254	10136574	chr1	38	g22406	42471589	scaffold_11	3283	F
L_var_00262	10341681	chr1	39	g15309	10058763	scaffold_11	2990	F
L_var_00264	10426116	chr1	40	g22378	42341032	scaffold_11	3282	F
L_var_00268	10572805	chr1	42	g19149	27720840	scaffold_11	3161	F
L_var_00269	10577402	chr1	43	g16674	16377014	scaffold_11	3050	F
L_var_00274	10717069	chr1	44	g15922	13002609	scaffold_11	3022	F
L_var_00280	10948371	chr1	45	g19419	28975970	scaffold_11	3176	F
L_var_00282	11002465	chr1	46	g19422	29001424	scaffold_11	3177	F
L_var_00289	11253494	chr1	48	g21278	37653408	scaffold_11	3240	F
L_var_00300	11686953	chr1	52	g17751	21611555	scaffold_11	3097	F
L_var_00306	12169999	chr1	53	g20542	34275268	scaffold_11	3225	F
L_var_00308	12226509	chr1	55	g22034	40835210	scaffold_11	3273	F
L_var_00309	12382260	chr1	56	g20039	31882531	scaffold_11	3199	F
L_var_00310	12486213	chr1	57	g23606	47156645	scaffold_11	3316	F
L_var_00316	12639202	chr1	59	g17456	20170120	scaffold_11	3081	F
L_var_00318	12677881	chr1	60	g18702	25550919	scaffold_11	3143	F
L_var_00322	12845816	chr1	61	g18432	24577777	scaffold_11	3135	F
L_var_00323	12885508	chr1	62	g20010	31707995	scaffold_11	3198	F
L_var_00328	13094540	chr1	63	g20510	34116461	scaffold_11	3220	F
L_var_00331	13373204	chr1	64	g19950	31406005	scaffold_11	3196	F
L_var_00334	13559629	chr1	65	g18378	24372027	scaffold_11	3129	F
L_var_00343	13998558	chr1	67	g20529	34216236	scaffold_11	3223	F
L_var_00354	14237173	chr1	69	g14422	5561752	scaffold_11	2958	F
L_var_00359	14350800	chr1	71	g13582	1556371	scaffold_11	2924	F
L_var_00360	14417062	chr1	72	g16363	14831464	scaffold_11	3033	F
L_var_00361	14421908	chr1	73	g16362	14819820	scaffold_11	3032	F
L_var_00362	14455264	chr1	74	g13590	1615421	scaffold_11	2925	F
L_var_00370	14610729	chr1	76	g19706	30324207	scaffold_11	3190	F
L_var_00371	14640195	chr1	77	g17378	19851999	scaffold_11	3072	F
L_var_00375	14695825	chr1	78	g13668	1995947	scaffold_11	2928	F
L_var_00379	14851956	chr1	79	g20977	36299585	scaffold_11	3236	F
L_var_00385	15101346	chr1	80	g16762	16887721	scaffold_11	3052	F
L_var_00386	15104947	chr1	81	g15625	11537750	scaffold_11	3006	F
L_var_00387	15150670	chr1	82	g20126	32262623	scaffold_11	3202	F
L_var_00398	15499582	chr1	83	g15626	11558750	scaffold_11	3007	F
L_var_00403	15616466	chr1	84	g13910	2921345	scaffold_11	2935	F
L_var_00415	16162248	chr1	86	g13491	932599	scaffold_11	2919	F
L_var_00420	16286119	chr1	88	g14650	6632059	scaffold_11	2966	F
L_var_00421	16299501	chr1	89	g13693	2153105	scaffold_11	2929	F
L_var_00422	16367296	chr1	90	g15628	11563473	scaffold_11	3008	F
L_var_00424	16384260	chr1	91	g16830	17229256	scaffold_11	3054	F
L_var_00425	16471121	chr1	92	g13909	2909527	scaffold_11	2934	F
L_var_00426	16476024	chr1	93	g19059	27368885	scaffold_11	3159	F
L_var_00427	16603571	chr1	94	g15901	12825546	scaffold_11	3020	F
L_var_00430	16699286	chr1	95	g15907	12900836	scaffold_11	3021	F
L_var_00432	16748666	chr1	97	g14108	3874175	scaffold_11	2948	F
L_var_00434	16831883	chr1	99	g21951	40583729	scaffold_11	3268	F
L_var_00438	16909958	chr1	100	g20449	33905344	scaffold_11	3215	F
L_var_00441	17030388	chr1	101	g20283	32860015	scaffold_11	3206	F
L_var_00444	17114592	chr1	102	g21538	38772507	scaffold_11	3249	F
L_var_00445	17127487	chr1	103	g23589	47071081	scaffold_11	3315	F
L_var_00446	17133794	chr1	104	g16550	15697639	scaffold_11	3041	F
L_var_00447	17195106	chr1	105	g17387	19889951	scaffold_11	3074	F
L_var_00455	17366876	chr1	106	g15025	8618898	scaffold_11	2982	F
L_var_00456	17462729	chr1	107	g21735	39683776	scaffold_11	3256	F
L_var_00457	17503623	chr1	108	g17347	19748110	scaffold_11	3069	F
L_var_00463	17683128	chr1	109	g16113	13817485	scaffold_11	3027	F
L_var_00465	17696894	chr1	110	g13768	2398119	scaffold_11	2931	F
L_var_00471	17815088	chr1	112	g18057	22887321	scaffold_11	3116	F
L_var_00476	17887152	chr1	113	g16453	15287056	scaffold_11	3038	F
L_var_00478	17934357	chr1	115	g19391	28797080	scaffold_11	3169	F
L_var_00479	17976579	chr1	117	g19533	29413913	scaffold_11	3181	F
L_var_00481	17982958	chr1	118	g18674	25467658	scaffold_11	3141	F
L_var_00483	18023716	chr1	119	g15315	10099709	scaffold_11	2991	F
L_var_00484	18023863	chr1	120	g14728	7116448	scaffold_11	2971	F
L_var_00487	18139207	chr1	121	g21401	38172904	scaffold_11	3244	F
L_var_00488	18183907	chr1	122	g16575	15813284	scaffold_11	3046	F
L_var_00489	18184301	chr1	123	g16571	15801691	scaffold_11	3045	F
L_var_00491	18208584	chr1	124	g20815	35547579	scaffold_11	3234	F
L_var_00492	18212759	chr1	125	g16035	13460026	scaffold_11	3024	F
L_var_00494	18269996	chr1	127	g14685	6792033	scaffold_11	2967	F
L_var_00495	18301244	chr1	128	g20499	34096052	scaffold_11	3217	F
L_var_00496	18305862	chr1	129	g20119	32241713	scaffold_11	3201	F
L_var_00498	18391652	chr1	130	g16569	15787451	scaffold_11	3044	F
L_var_00504	18750338	chr1	131	g15452	10828484	scaffold_11	2998	F
L_var_00505	18795457	chr1	132	g15467	10857651	scaffold_11	2999	F
L_var_00508	18819611	chr1	133	g14134	3977031	scaffold_11	2949	F
L_var_00509	18834835	chr1	134	g20524	34187165	scaffold_11	3221	F
L_var_00510	18842881	chr1	135	g14822	7481829	scaffold_11	2978	F
L_var_00512	18927976	chr1	136	g13477	833522	scaffold_11	2917	F
L_var_00515	18962251	chr1	137	g13483	851943	scaffold_11	2918	F
L_var_00516	19017285	chr1	138	g20612	34640068	scaffold_11	3232	F
L_var_00517	19097420	chr1	140	g15505	11034779	scaffold_11	3004	F
L_var_00522	19275491	chr1	141	g19405	28861611	scaffold_11	3172	F
L_var_00524	19302826	chr1	143	g16644	16275917	scaffold_11	3048	F
L_var_00527	19412679	chr1	146	g18235	23742259	scaffold_11	3124	F
L_var_00530	19468812	chr1	147	g22071	41019312	scaffold_11	3276	F
L_var_00531	19580326	chr1	148	g13509	1029759	scaffold_11	2920	F
L_var_00532	19629591	chr1	149	g21727	39640961	scaffold_11	3255	F
L_var_00536	19724059	chr1	150	g17384	19870311	scaffold_11	3073	F
L_var_00546	19984385	chr1	151	g16956	17993043	scaffold_11	3059	F
L_var_00547	20013880	chr1	152	g22708	43603711	scaffold_11	3288	F
L_var_00548	20045074	chr1	153	g15082	8968598	scaffold_11	2985	F
L_var_00553	20148424	chr1	154	g23333	45967090	scaffold_11	3300	F
L_var_00554	20188485	chr1	155	g14566	6260481	scaffold_11	2962	F
L_var_00559	20361148	chr1	156	g19752	30570785	scaffold_11	3192	F
L_var_00561	20468551	chr1	157	g17357	19801613	scaffold_11	3070	F
L_var_00563	20481297	chr1	158	g21620	39203135	scaffold_11	3253	F
L_var_00568	20651624	chr1	159	g18210	23628681	scaffold_11	3122	F
L_var_00569	20659756	chr1	160	g16543	15674652	scaffold_11	3040	F
L_var_00571	20718582	chr1	161	g19246	28180358	scaffold_11	3164	F
L_var_00574	20797264	chr1	162	g14022	3489999	scaffold_11	2940	F
L_var_00577	20820550	chr1	163	g14019	3474720	scaffold_11	2939	F
L_var_00583	20921902	chr1	164	g18786	25916107	scaffold_11	3147	F
L_var_00585	20981975	chr1	165	g17390	19908958	scaffold_11	3075	F
L_var_00590	21199851	chr1	166	g15655	11686356	scaffold_11	3009	F
L_var_00593	21228823	chr1	167	g15658	11703019	scaffold_11	3010	F
L_var_00594	21244173	chr1	168	g17731	21519465	scaffold_11	3095	F
L_var_00596	21279714	chr1	169	g18292	24037899	scaffold_11	3126	F
L_var_00598	21324168	chr1	170	g14778	7264175	scaffold_11	2974	F
L_var_00599	21343611	chr1	171	g18504	24742337	scaffold_11	3136	F
L_var_00600	21359321	chr1	172	g22739	43704783	scaffold_11	3290	F
L_var_00603	21431518	chr1	173	g16758	16875161	scaffold_11	3051	F
L_var_00610	21640206	chr1	174	g15820	12343676	scaffold_11	3017	F
L_var_00621	21829434	chr1	177	g16563	15764345	scaffold_11	3043	F
L_var_00623	21850474	chr1	178	g14645	6602697	scaffold_11	2965	F
L_var_00625	22046020	chr1	179	g16656	16349967	scaffold_11	3049	F
L_var_00627	22133627	chr1	180	g15692	11880988	scaffold_11	3012	F
L_var_00629	22187853	chr1	181	g15677	11809715	scaffold_11	3011	F
L_var_00631	22227964	chr1	182	g15712	11959478	scaffold_11	3013	F
L_var_00633	22283526	chr1	183	g19601	29713587	scaffold_11	3186	F
L_var_00635	22320703	chr1	184	g18361	24292183	scaffold_11	3127	F
L_var_00637	22364838	chr1	185	g20590	34540590	scaffold_11	3230	F
L_var_00638	22379902	chr1	186	g20585	34532639	scaffold_11	3229	F
L_var_00647	22892412	chr1	187	g20591	34550827	scaffold_11	3231	F
L_var_00649	22930329	chr1	188	g19540	29442572	scaffold_11	3183	F
L_var_00656	23122225	chr1	189	g14255	4737127	scaffold_11	2953	F
L_var_00658	23280857	chr1	190	g19798	30714160	scaffold_11	3193	F
L_var_00664	23617276	chr1	192	g19653	29979188	scaffold_11	3189	F
L_var_00668	23751818	chr1	193	g19414	28930857	scaffold_11	3175	F
L_var_00677	23966093	chr1	194	g20400	33492564	scaffold_11	3213	F
L_var_00704	24773165	chr1	196	g17572	20578247	scaffold_11	3082	F
L_var_00721	25224833	chr1	197	g20435	33834546	scaffold_11	3214	F
L_var_00722	25336112	chr1	198	g18967	26860717	scaffold_11	3153	F
L_var_00723	25342596	chr1	199	g17721	21467546	scaffold_11	3093	F
L_var_00726	25441042	chr1	201	g18410	24512186	scaffold_11	3133	F
L_var_00746	26263756	chr1	204	g19401	28848433	scaffold_11	3171	F
L_var_00756	26418172	chr1	205	g20379	33368699	scaffold_11	3212	F
L_var_00766	26942939	chr1	206	g23317	45908133	scaffold_11	3298	F
L_var_00776	27474726	chr1	207	g19318	28488675	scaffold_11	3165	F
L_var_00781	27568682	chr1	208	g13882	2785283	scaffold_11	2932	F
L_var_00809	28618592	chr1	210	g15870	12588285	scaffold_11	3018	F
L_var_00814	28983017	chr1	211	g16382	14911945	scaffold_11	3034	F
L_var_00831	29527280	chr1	213	g18792	25955923	scaffold_11	3148	F
L_var_00850	29938740	chr1	216	g23277	45770939	scaffold_11	3297	F
L_var_00859	30120670	chr1	217	g15969	13208762	scaffold_11	3023	F
L_var_00861	30165103	chr1	218	g17921	22536245	scaffold_11	3111	F
L_var_00862	30172452	chr1	219	g17929	22565385	scaffold_11	3113	F
L_var_00876	30390020	chr1	220	g20271	32810158	scaffold_11	3204	F
L_var_00877	30472743	chr1	221	g22749	43749005	scaffold_11	3291	F
L_var_00880	30546472	chr1	222	g22793	43960804	scaffold_11	3293	F
L_var_00881	30648228	chr1	223	g22812	44067259	scaffold_11	3294	F
L_var_00887	30805015	chr1	225	g19392	28810086	scaffold_11	3170	F
L_var_00893	30958391	chr1	226	g17932	22580635	scaffold_11	3114	F
L_var_00897	31016982	chr1	227	g13460	772025	scaffold_11	2915	F
L_var_00898	31050534	chr1	228	g15478	10910804	scaffold_11	3000	F
L_var_00906	31308052	chr1	229	g22782	43902305	scaffold_11	3292	F
L_var_00909	31511467	chr1	230	g20504	34104260	scaffold_11	3219	F
L_var_00915	31689095	chr1	232	g14432	5600101	scaffold_11	2959	F
L_var_00916	31720772	chr1	233	g13565	1476416	scaffold_11	2923	F
L_var_00926	32174738	chr1	234	g21915	40482662	scaffold_11	3266	F
L_var_00928	32192976	chr1	235	g20053	31967766	scaffold_11	3200	F
L_var_00929	32243605	chr1	236	g13375	331486	scaffold_11	2914	F
L_var_00932	32316375	chr1	237	g18370	24313381	scaffold_11	3128	F
L_var_00934	32406375	chr1	238	g21574	38988889	scaffold_11	3252	F
L_var_00935	32437600	chr1	239	g23363	46090339	scaffold_11	3304	F
L_var_00936	32441925	chr1	240	g14721	7094907	scaffold_11	2970	F
L_var_00937	32491766	chr1	241	g17065	18548235	scaffold_11	3063	F
L_var_00940	32623468	chr1	242	g19334	28550944	scaffold_11	3166	F
L_var_00941	32672100	chr1	243	g23401	46235812	scaffold_11	3308	F
L_var_00942	32700248	chr1	244	g17927	22557071	scaffold_11	3112	F
L_var_00945	32746586	chr1	245	g19016	27086682	scaffold_11	3156	F
L_var_00948	32779053	chr1	246	g21817	40097099	scaffold_11	3262	F
L_var_00950	32814650	chr1	248	g19830	30895625	scaffold_11	3195	F
L_var_00952	32846332	chr1	250	g16063	13600742	scaffold_11	3025	F
L_var_00956	32932967	chr1	251	g21011	36467509	scaffold_11	3237	F
L_var_00957	32980099	chr1	252	g14088	3798053	scaffold_11	2943	F
L_var_00958	32985120	chr1	253	g16146	13934417	scaffold_11	3028	F
L_var_00959	33007766	chr1	254	g17027	18306986	scaffold_11	3061	F
L_var_00960	33055028	chr1	255	g21331	37926014	scaffold_11	3241	F
L_var_00966	33141772	chr1	256	g21544	38794763	scaffold_11	3250	F
L_var_00972	33299784	chr1	257	g17053	18481084	scaffold_11	3062	F
L_var_00980	33615523	chr1	259	g20369	33298860	scaffold_11	3210	F
L_var_00981	33623347	chr1	260	g17746	21568779	scaffold_11	3096	F
L_var_00991	33949040	chr1	261	g23507	46761953	scaffold_11	3313	F
L_var_00992	33955326	chr1	262	g23514	46781960	scaffold_11	3314	F
L_var_00994	34032187	chr1	263	g19412	28914004	scaffold_11	3174	F
L_var_00996	34096361	chr1	264	g17670	21155123	scaffold_11	3090	F
L_var_00997	34122400	chr1	265	g17684	21243070	scaffold_11	3091	F
L_var_00998	34285479	chr1	266	g17706	21414104	scaffold_11	3092	F
L_var_01001	34399398	chr1	267	g14239	4665845	scaffold_11	2952	F
L_var_01003	34441913	chr1	268	g23352	46047890	scaffold_11	3302	F
L_var_01005	34522156	chr1	269	g18725	25621211	scaffold_11	3145	F
L_var_01008	34576356	chr1	270	g22704	43580436	scaffold_11	3286	F
L_var_01011	34747469	chr1	271	g20567	34440333	scaffold_11	3228	F
L_var_01013	34792943	chr1	272	g20560	34401680	scaffold_11	3226	F
L_var_01016	34947029	chr1	273	g20289	32911381	scaffold_11	3207	F
L_var_01017	34968535	chr1	274	g16098	13774689	scaffold_11	3026	F
L_var_01018	34991298	chr1	275	g15191	9591908	scaffold_11	2988	F
L_var_01019	35000641	chr1	276	g15186	9573581	scaffold_11	2987	F
L_var_01020	35029721	chr1	277	g18381	24381505	scaffold_11	3130	F
L_var_01027	35258548	chr1	280	g13558	1420099	scaffold_11	2922	F
L_var_01028	35276896	chr1	281	g17451	20151343	scaffold_11	3080	F
L_var_01036	35420314	chr1	282	g15003	8517516	scaffold_11	2981	F
L_var_01038	35459624	chr1	283	g15001	8496809	scaffold_11	2980	F
L_var_01039	35521363	chr1	284	g14788	7287864	scaffold_11	2975	F
L_var_01041	35582582	chr1	285	g14793	7366227	scaffold_11	2976	F
L_var_01046	35735002	chr1	287	g15487	10954803	scaffold_11	3002	F
L_var_01048	35798769	chr1	288	g19820	30779668	scaffold_11	3194	F
L_var_01050	35841763	chr1	289	g21167	37241325	scaffold_11	3239	F
L_var_01051	35898536	chr1	290	g19444	29098256	scaffold_11	3180	F
L_var_01058	36151572	chr1	293	g16403	14995818	scaffold_11	3035	F
L_var_01060	36204755	chr1	295	g18699	25539146	scaffold_11	3142	F
L_var_01061	36235691	chr1	296	g21418	38241471	scaffold_11	3246	F
L_var_01062	36238327	chr1	297	g21411	38202747	scaffold_11	3245	F
L_var_01063	36326213	chr1	298	g22190	41380510	scaffold_11	3280	F
L_var_01064	36378810	chr1	299	g16150	13957834	scaffold_11	3029	F
L_var_01065	36392301	chr1	300	g23485	46633105	scaffold_11	3312	F
L_var_01067	36540726	chr1	301	g20969	36259134	scaffold_11	3235	F
L_var_01076	37185059	chr1	302	g13883	2805126	scaffold_11	2933	F
L_var_01078	37225750	chr1	303	g22830	44130053	scaffold_11	3295	F
L_var_01083	37302434	chr1	304	g16560	15753475	scaffold_11	3042	F
L_var_01082	37302590	chr1	305	g19749	30564034	scaffold_11	3191	F
L_var_01085	37410990	chr1	306	g22626	43230029	scaffold_11	3285	F
L_var_01086	37412991	chr1	307	g15334	10154492	scaffold_11	2992	F
L_var_01088	37484256	chr1	308	g17607	20732960	scaffold_11	3084	F
L_var_01089	37564448	chr1	309	g17600	20688903	scaffold_11	3083	F
L_var_01092	37615630	chr1	311	g21795	40031723	scaffold_11	3259	F
L_var_01099	37881158	chr1	312	g18063	22902715	scaffold_11	3117	F
L_var_01104	37942147	chr1	314	g16288	14524980	scaffold_11	3031	F
L_var_01105	37951468	chr1	315	g17439	20111617	scaffold_11	3078	F
L_var_01106	37997114	chr1	316	g22182	41360574	scaffold_11	3279	F
L_var_01107	37999292	chr1	317	g19054	27356401	scaffold_11	3158	F
L_var_01108	38031790	chr1	318	g18986	26933364	scaffold_11	3155	F
L_var_01111	38132837	chr1	319	g18938	26737566	scaffold_11	3152	F
L_var_01112	38172002	chr1	320	g18739	25681993	scaffold_11	3146	F
L_var_01122	38683566	chr1	323	g17449	20142936	scaffold_11	3079	F
L_var_01124	38750918	chr1	324	g13605	1698570	scaffold_11	2926	F
L_var_01129	38859619	chr1	325	g17646	21054610	scaffold_11	3087	F
L_var_01130	38878228	chr1	326	g15122	9143547	scaffold_11	2986	F
L_var_01137	38982744	chr1	328	g17786	21835454	scaffold_11	3103	F
L_var_01139	38994095	chr1	329	g17787	21841828	scaffold_11	3104	F
L_var_01140	39005822	chr1	330	g14806	7427982	scaffold_11	2977	F
L_var_01149	39318183	chr1	331	g13528	1191657	scaffold_11	2921	F
L_var_01154	39424193	chr1	332	g14620	6436831	scaffold_11	2964	F
L_var_01155	39476500	chr1	333	g17755	21678662	scaffold_11	3098	F
L_var_01156	39488822	chr1	334	g17302	19588119	scaffold_11	3067	F
L_var_01158	39560087	chr1	335	g13985	3343400	scaffold_11	2937	F
L_var_01161	39600734	chr1	336	g14262	4768231	scaffold_11	2955	F
L_var_01163	39616281	chr1	337	g14261	4763139	scaffold_11	2954	F
L_var_01164	39638594	chr1	338	g21385	38098329	scaffold_11	3243	F
L_var_01167	39732892	chr1	340	g20374	33325034	scaffold_11	3211	F
L_var_01170	39829795	chr1	341	g19019	27098552	scaffold_11	3157	F
L_var_01172	39862208	chr1	342	g21833	40172338	scaffold_11	3264	F
L_var_01173	39887815	chr1	343	g14876	7741930	scaffold_11	2979	F
L_var_01174	39956740	chr1	344	g23421	46298540	scaffold_11	3311	F
L_var_01180	40093889	chr1	345	g20465	33953208	scaffold_11	3216	F
L_var_01186	40198609	chr1	346	g18217	23658060	scaffold_11	3123	F
L_var_01187	40430980	chr1	347	g16430	15170921	scaffold_11	3037	F
L_var_01188	40530479	chr1	348	g16406	15057919	scaffold_11	3036	F
L_var_01189	40581990	chr1	349	g18612	25140445	scaffold_11	3139	F
L_var_01194	40625588	chr1	350	g20653	34778360	scaffold_11	3233	F
L_var_01195	40730806	chr1	351	g15486	10938884	scaffold_11	3001	F
L_var_01197	40762745	chr1	352	g22707	43596532	scaffold_11	3287	F
L_var_01198	40764080	chr1	353	g23415	46283186	scaffold_11	3310	F
L_var_01199	40829736	chr1	354	g15495	10979329	scaffold_11	3003	F
L_var_01200	40833147	chr1	355	g20534	34244604	scaffold_11	3224	F
L_var_01203	40952350	chr1	357	g19409	28892701	scaffold_11	3173	F
L_var_01210	41109085	chr1	358	g22356	42218702	scaffold_11	3281	F
L_var_01211	41133920	chr1	359	g19607	29745733	scaffold_11	3187	F
L_var_01214	41452609	chr1	361	g15436	10759971	scaffold_11	2997	F
L_var_01215	41459667	chr1	362	g15432	10738287	scaffold_11	2996	F
L_var_01216	41518240	chr1	363	g13467	801808	scaffold_11	2916	F
L_var_01235	42068868	chr1	364	g19339	28576895	scaffold_11	3167	F
L_var_01236	42106384	chr1	365	g23348	46033123	scaffold_11	3301	F
L_var_01237	42173671	chr1	366	g18414	24533321	scaffold_11	3134	F
L_var_01240	42317315	chr1	367	g17102	18752265	scaffold_11	3064	F
L_var_01246	42545143	chr1	368	g14266	4785233	scaffold_11	2956	F
L_var_01248	42643202	chr1	369	g15066	8859568	scaffold_11	2983	F
L_var_01249	42728639	chr1	370	g21957	40600371	scaffold_11	3269	F
L_var_01262	43076229	chr1	371	g18193	23505905	scaffold_11	3121	F
L_var_01265	43113378	chr1	372	g14730	7125465	scaffold_11	2972	F
L_var_01266	43162093	chr1	373	g21802	40056018	scaffold_11	3260	F
L_var_01267	43223919	chr1	374	g18407	24503911	scaffold_11	3132	F
L_var_01277	43691143	chr1	376	g16821	17202193	scaffold_11	3053	F
L_var_01280	43824898	chr1	377	g14445	5688565	scaffold_11	2960	F
L_var_01281	43868402	chr1	378	g14586	6318850	scaffold_11	2963	F
L_var_01290	44459559	chr1	379	g19201	27991471	scaffold_11	3162	F
L_var_01297	44816101	chr1	381	g15881	12632196	scaffold_11	3019	F
L_var_01303	45246907	chr1	382	g19349	28603845	scaffold_11	3168	F
L_var_01920	67061530	chr1	529	g14206	4378302	scaffold_11	2950	F
L_var_01952	67690280	chr1	536	g20345	33196013	scaffold_11	3209	F
L_var_01998	68931244	chr1	545	g22111	41119291	scaffold_11	3277	F
L_var_02000	68959143	chr1	546	g22114	41126149	scaffold_11	3278	F
L_var_00296	11451602	chr1	51	g186765	10042197	scaffold_7	3417	E
L_var_01166	39674619	chr1	339	g193726	41715154	scaffold_7	3732	E
L_var_01989	68776393	chr1	541	g191437	31790592	scaffold_7	3641	E
L_var_02010	69244191	chr1	550	g188659	18776430	scaffold_7	3501	E
L_var_02011	69262347	chr1	551	g188602	18557760	scaffold_7	3497	E
L_var_02012	69267573	chr1	552	g188603	18561133	scaffold_7	3498	E
L_var_02014	69283132	chr1	553	g188682	18844862	scaffold_7	3502	E
L_var_02019	69338465	chr1	554	g188627	18634448	scaffold_7	3499	E
L_var_02021	69387912	chr1	555	g188636	18686393	scaffold_7	3500	E
