s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg	CLG2
BL14201	1334232	BFL_1	26	g157587	18770388	scaffold_4	1540	CLGA	CLGA
BL14197	1445370	BFL_1	27	g160852	35053599	scaffold_4	1753	CLGA	CLGA
BL14196	1459694	BFL_1	28	g163555	49397064	scaffold_4	1928	CLGA	CLGA
BL14195	1501641	BFL_1	29	g161289	37338888	scaffold_4	1787	CLGA	CLGA
BL14191	1629851	BFL_1	30	g155974	11237213	scaffold_4	1414	CLGA	CLGA
BL14189	1646977	BFL_1	31	g154898	6472054	scaffold_4	1348	CLGA	CLGA
BL14188	1654000	BFL_1	32	g157283	17273794	scaffold_4	1513	CLGA	CLGA
BL14187	1664106	BFL_1	33	g155693	10043465	scaffold_4	1394	CLGA	CLGA
BL14186	1675771	BFL_1	34	g161607	38894387	scaffold_4	1821	CLGA	CLGA
BL14185	1689541	BFL_1	35	g155130	7634910	scaffold_4	1354	CLGA	CLGA
BL14183	1748707	BFL_1	36	g155121	7573154	scaffold_4	1353	CLGA	CLGA
BL14181	1795704	BFL_1	37	g163919	51414862	scaffold_4	1959	CLGA	CLGA
BL14178	1873052	BFL_1	38	g153948	2019642	scaffold_4	1292	CLGA	CLGA
BL25593	2132899	BFL_1	40	g157323	17503043	scaffold_4	1517	CLGA	CLGA
BL25592	2137890	BFL_1	41	g153699	748133	scaffold_4	1272	CLGA	CLGA
BL25567	2447071	BFL_1	42	g156479	13566239	scaffold_4	1451	CLGA	CLGA
BL25565	2484866	BFL_1	43	g156491	13584586	scaffold_4	1452	CLGA	CLGA
BL25560	2606204	BFL_1	44	g161092	36238215	scaffold_4	1774	CLGA	CLGA
BL25559	2618895	BFL_1	45	g161099	36291991	scaffold_4	1775	CLGA	CLGA
BL25558	2719048	BFL_1	46	g163519	49189243	scaffold_4	1923	CLGA	CLGA
BL25556	2808253	BFL_1	47	g161474	38159197	scaffold_4	1811	CLGA	CLGA
BL25555	2814164	BFL_1	48	g160323	32551450	scaffold_4	1720	CLGA	CLGA
BL25547	3122875	BFL_1	49	g164186	52753531	scaffold_4	1973	CLGA	CLGA
BL25543	3205178	BFL_1	51	g162955	46377832	scaffold_4	1900	CLGA	CLGA
BL25535	3346734	BFL_1	52	g160513	33420532	scaffold_4	1728	CLGA	CLGA
BL25512	3722920	BFL_1	57	g159114	26565657	scaffold_4	1649	CLGA	CLGA
BL25511	3756698	BFL_1	58	g159121	26587697	scaffold_4	1650	CLGA	CLGA
BL25510	3796207	BFL_1	59	g158443	23161778	scaffold_4	1597	CLGA	CLGA
BL25509	3812262	BFL_1	60	g158442	23151359	scaffold_4	1596	CLGA	CLGA
BL25508	3817268	BFL_1	61	g155793	10577312	scaffold_4	1404	CLGA	CLGA
BL25506	3826297	BFL_1	62	g155798	10594693	scaffold_4	1405	CLGA	CLGA
BL25505	3839632	BFL_1	63	g153868	1668017	scaffold_4	1287	CLGA	CLGA
BL25503	3865953	BFL_1	64	g156886	15440130	scaffold_4	1478	CLGA	CLGA
BL25502	3882987	BFL_1	65	g163999	51823732	scaffold_4	1960	CLGA	CLGA
BL25501	3888009	BFL_1	66	g162115	41659089	scaffold_4	1860	CLGA	CLGA
BL25500	3893197	BFL_1	67	g162118	41661957	scaffold_4	1861	CLGA	CLGA
BL01998	3974437	BFL_1	68	g157755	19574787	scaffold_4	1558	CLGA	CLGA
BL01995	4017672	BFL_1	69	g154537	4787190	scaffold_4	1323	CLGA	CLGA
BL01994	4031546	BFL_1	70	g162024	41125041	scaffold_4	1849	CLGA	CLGA
BL01993	4106880	BFL_1	71	g162025	41141991	scaffold_4	1850	CLGA	CLGA
BL01992	4132914	BFL_1	72	g164052	52049764	scaffold_4	1966	CLGA	CLGA
BL01982	4292330	BFL_1	74	g158709	24369394	scaffold_4	1624	CLGA	CLGA
BL01981	4297562	BFL_1	75	g158717	24376603	scaffold_4	1625	CLGA	CLGA
BL01980	4311448	BFL_1	76	g158721	24397499	scaffold_4	1626	CLGA	CLGA
BL01976	4327823	BFL_1	77	g161258	37198313	scaffold_4	1782	CLGA	CLGA
BL01975	4338801	BFL_1	78	g159828	30261455	scaffold_4	1696	CLGA	CLGA
BL01973	4393643	BFL_1	79	g156381	13279346	scaffold_4	1443	CLGA	CLGA
BL01971	4426935	BFL_1	80	g156365	13247059	scaffold_4	1442	CLGA	CLGA
BL01968	4443125	BFL_1	81	g156359	13231011	scaffold_4	1441	CLGA	CLGA
BL01964	4484983	BFL_1	84	g159967	30762032	scaffold_4	1701	CLGA	CLGA
BL01958	4606215	BFL_1	87	g153567	266438	scaffold_4	1264	CLGA	CLGA
BL01947	4780232	BFL_1	90	g163785	50762683	scaffold_4	1943	CLGA	CLGA
BL01937	4893350	BFL_1	99	g163687	50105207	scaffold_4	1940	CLGA	CLGA
BL01936	4898053	BFL_1	100	g163685	50077839	scaffold_4	1939	CLGA	CLGA
BL01935	4902902	BFL_1	101	g156209	12410941	scaffold_4	1431	CLGA	CLGA
BL01933	4977289	BFL_1	102	g154745	5747745	scaffold_4	1339	CLGA	CLGA
BL01932	5022099	BFL_1	103	g161382	37750756	scaffold_4	1799	CLGA	CLGA
BL01931	5086712	BFL_1	104	g161353	37590219	scaffold_4	1797	CLGA	CLGA
BL01920	5340038	BFL_1	110	g163130	47103373	scaffold_4	1904	CLGA	CLGA
BL01919	5349027	BFL_1	111	g155212	8011825	scaffold_4	1357	CLGA	CLGA
BL01918	5409972	BFL_1	112	g155193	7897581	scaffold_4	1356	CLGA	CLGA
BL01916	5493225	BFL_1	113	g156256	12609234	scaffold_4	1436	CLGA	CLGA
BL01913	5523209	BFL_1	114	g162405	43078182	scaffold_4	1884	CLGA	CLGA
BL01907	5632630	BFL_1	118	g157836	20016137	scaffold_4	1562	CLGA	CLGA
BL01906	5638767	BFL_1	119	g160310	32495298	scaffold_4	1717	CLGA	CLGA
BL01904	5658322	BFL_1	120	g160315	32519793	scaffold_4	1718	CLGA	CLGA
BL01902	5687799	BFL_1	121	g161179	36655001	scaffold_4	1777	CLGA	CLGA
BL01899	5703690	BFL_1	122	g156845	15320375	scaffold_4	1476	CLGA	CLGA
BL01890	5767013	BFL_1	124	g153879	1712170	scaffold_4	1289	CLGA	CLGA
BL01887	5798991	BFL_1	125	g158766	24600370	scaffold_4	1632	CLGA	CLGA
BL01885	5831871	BFL_1	126	g158756	24551181	scaffold_4	1631	CLGA	CLGA
BL01879	5928991	BFL_1	127	g156638	14359396	scaffold_4	1463	CLGA	CLGA
BL01878	5930067	BFL_1	128	g156099	11879013	scaffold_4	1422	CLGA	CLGA
BL01876	5948692	BFL_1	130	g155620	9621098	scaffold_4	1387	CLGA	CLGA
BL01875	5956043	BFL_1	131	g159819	30161331	scaffold_4	1695	CLGA	CLGA
BL01874	5982821	BFL_1	132	g153720	845498	scaffold_4	1274	CLGA	CLGA
BL01870	6006191	BFL_1	133	g158437	23131363	scaffold_4	1595	CLGA	CLGA
BL01866	6124184	BFL_1	134	g160328	32577782	scaffold_4	1721	CLGA	CLGA
BL01865	6130474	BFL_1	135	g161547	38545382	scaffold_4	1816	CLGA	CLGA
BL01864	6136624	BFL_1	136	g163576	49491573	scaffold_4	1933	CLGA	CLGA
BL01863	6159148	BFL_1	137	g163578	49512745	scaffold_4	1934	CLGA	CLGA
BL01860	6184366	BFL_1	138	g156556	13929376	scaffold_4	1453	CLGA	CLGA
BL01859	6193319	BFL_1	139	g154838	6160174	scaffold_4	1343	CLGA	CLGA
BL01858	6206578	BFL_1	140	g155781	10510894	scaffold_4	1402	CLGA	CLGA
BL01854	6241715	BFL_1	142	g161080	36209022	scaffold_4	1773	CLGA	CLGA
BL01853	6248186	BFL_1	143	g161077	36187959	scaffold_4	1772	CLGA	CLGA
BL01852	6254027	BFL_1	144	g161073	36175902	scaffold_4	1771	CLGA	CLGA
BL01851	6262718	BFL_1	145	g156666	14519538	scaffold_4	1468	CLGA	CLGA
BL01849	6340047	BFL_1	146	g155322	8438417	scaffold_4	1366	CLGA	CLGA
BL01848	6367657	BFL_1	147	g155318	8420654	scaffold_4	1365	CLGA	CLGA
BL01847	6378661	BFL_1	148	g156564	13955852	scaffold_4	1455	CLGA	CLGA
BL01841	6473584	BFL_1	150	g158041	21205021	scaffold_4	1573	CLGA	CLGA
BL01840	6480805	BFL_1	151	g160072	31496339	scaffold_4	1710	CLGA	CLGA
BL01839	6501837	BFL_1	152	g161060	36129702	scaffold_4	1769	CLGA	CLGA
BL01833	6549489	BFL_1	153	g157851	20108714	scaffold_4	1563	CLGA	CLGA
BL01830	6588328	BFL_1	155	g154412	4351259	scaffold_4	1319	CLGA	CLGA
BL01829	6615547	BFL_1	156	g161401	37858704	scaffold_4	1803	CLGA	CLGA
BL01828	6651476	BFL_1	157	g156904	15518068	scaffold_4	1482	CLGA	CLGA
BL01827	6657124	BFL_1	158	g155555	9230037	scaffold_4	1381	CLGA	CLGA
BL01826	6671366	BFL_1	159	g158162	21718503	scaffold_4	1580	CLGA	CLGA
BL01824	6709906	BFL_1	160	g157145	16547310	scaffold_4	1498	CLGA	CLGA
BL01822	6719319	BFL_1	161	g161067	36153229	scaffold_4	1770	CLGA	CLGA
BL01821	6730136	BFL_1	162	g153863	1646366	scaffold_4	1286	CLGA	CLGA
BL01814	6789611	BFL_1	163	g155223	8093020	scaffold_4	1360	CLGA	CLGA
BL01799	6895338	BFL_1	166	g161305	37417702	scaffold_4	1791	CLGA	CLGA
BL00378	6899913	BFL_1	167	g161317	37431762	scaffold_4	1792	CLGA	CLGA
BL01798	6899913	BFL_1	168	g161318	37437290	scaffold_4	1793	CLGA	CLGA
BL01797	6908846	BFL_1	169	g162059	41287488	scaffold_4	1852	CLGA	CLGA
BL01796	6928458	BFL_1	170	g162387	42955409	scaffold_4	1881	CLGA	CLGA
BL01795	6931966	BFL_1	171	g161854	40089418	scaffold_4	1836	CLGA	CLGA
BL01790	7007552	BFL_1	172	g157326	17519484	scaffold_4	1518	CLGA	CLGA
BL01782	7079367	BFL_1	174	g157329	17536803	scaffold_4	1519	CLGA	CLGA
BL01781	7086859	BFL_1	175	g157340	17604621	scaffold_4	1520	CLGA	CLGA
BL01780	7093959	BFL_1	176	g159299	27481034	scaffold_4	1661	CLGA	CLGA
BL01779	7100504	BFL_1	177	g159293	27468099	scaffold_4	1660	CLGA	CLGA
BL01776	7120138	BFL_1	179	g163872	51166895	scaffold_4	1951	CLGA	CLGA
BL01774	7158129	BFL_1	180	g159279	27393226	scaffold_4	1658	CLGA	CLGA
BL01773	7189531	BFL_1	181	g155783	10543419	scaffold_4	1403	CLGA	CLGA
BL01768	7243793	BFL_1	182	g157313	17447719	scaffold_4	1515	CLGA	CLGA
BL01766	7266466	BFL_1	184	g158555	23644541	scaffold_4	1610	CLGA	CLGA
BL01765	7331802	BFL_1	185	g157244	17089833	scaffold_4	1507	CLGA	CLGA
BL01761	7440473	BFL_1	186	g155969	11218805	scaffold_4	1412	CLGA	CLGA
BL01760	7452522	BFL_1	187	g153652	525150	scaffold_4	1266	CLGA	CLGA
BL01758	7471239	BFL_1	188	g153874	1692233	scaffold_4	1288	CLGA	CLGA
BL01756	7488569	BFL_1	189	g160829	34901345	scaffold_4	1750	CLGA	CLGA
BL01754	7540484	BFL_1	190	g160837	34986313	scaffold_4	1751	CLGA	CLGA
BL01753	7547006	BFL_1	191	g158521	23519957	scaffold_4	1608	CLGA	CLGA
BL01750	7632949	BFL_1	192	g160806	34798879	scaffold_4	1748	CLGA	CLGA
BL01749	7702984	BFL_1	193	g163826	50922335	scaffold_4	1949	CLGA	CLGA
BL01748	7708784	BFL_1	194	g160818	34826320	scaffold_4	1749	CLGA	CLGA
BL01747	7712033	BFL_1	195	g163830	50937277	scaffold_4	1950	CLGA	CLGA
BL01746	7715561	BFL_1	196	g160938	35556971	scaffold_4	1759	CLGA	CLGA
BL01745	7731129	BFL_1	197	g160892	35324027	scaffold_4	1756	CLGA	CLGA
BL01744	7755161	BFL_1	198	g160919	35465320	scaffold_4	1757	CLGA	CLGA
BL01743	7784550	BFL_1	199	g156108	11928619	scaffold_4	1424	CLGA	CLGA
BL01742	7796452	BFL_1	200	g164082	52248806	scaffold_4	1969	CLGA	CLGA
BL01740	7808968	BFL_1	202	g154687	5505057	scaffold_4	1333	CLGA	CLGA
BL01739	7819197	BFL_1	203	g153611	371046	scaffold_4	1265	CLGA	CLGA
BL01738	7841218	BFL_1	204	g154690	5520797	scaffold_4	1334	CLGA	CLGA
BL01733	7885113	BFL_1	207	g158511	23479769	scaffold_4	1606	CLGA	CLGA
BL01732	7893146	BFL_1	208	g158514	23499206	scaffold_4	1607	CLGA	CLGA
BL01726	7924978	BFL_1	210	g154841	6184139	scaffold_4	1344	CLGA	CLGA
BL01725	7960065	BFL_1	211	g157421	18012494	scaffold_4	1524	CLGA	CLGA
BL01724	7972032	BFL_1	212	g163596	49667488	scaffold_4	1937	CLGA	CLGA
BL01723	7992160	BFL_1	213	g161463	38128344	scaffold_4	1809	CLGA	CLGA
BL01718	8006141	BFL_1	215	g163877	51207825	scaffold_4	1952	CLGA	CLGA
BL01714	8030952	BFL_1	216	g158499	23395759	scaffold_4	1603	CLGA	CLGA
BL01712	8058047	BFL_1	217	g156212	12428977	scaffold_4	1432	CLGA	CLGA
BL01709	8095012	BFL_1	219	g155806	10642082	scaffold_4	1406	CLGA	CLGA
BL01708	8103870	BFL_1	220	g163194	47483603	scaffold_4	1908	CLGA	CLGA
BL01707	8109776	BFL_1	221	g163428	48739992	scaffold_4	1919	CLGA	CLGA
BL01705	8140529	BFL_1	222	g164096	52336794	scaffold_4	1971	CLGA	CLGA
BL01694	8377652	BFL_1	225	g160987	35785703	scaffold_4	1764	CLGA	CLGA
BL01689	8416180	BFL_1	226	g157138	16522956	scaffold_4	1497	CLGA	CLGA
BL01675	8542274	BFL_1	232	g154584	5065969	scaffold_4	1324	CLGA	CLGA
BL01668	8711236	BFL_1	234	g154474	4556589	scaffold_4	1321	CLGA	CLGA
BL01667	8715126	BFL_1	235	g156899	15513706	scaffold_4	1481	CLGA	CLGA
BL01663	8784192	BFL_1	238	g164008	51868692	scaffold_4	1962	CLGA	CLGA
BL01661	8792214	BFL_1	240	g164011	51874583	scaffold_4	1963	CLGA	CLGA
BL01652	8887334	BFL_1	242	g155237	8140503	scaffold_4	1362	CLGA	CLGA
BL01651	8947578	BFL_1	243	g164063	52115116	scaffold_4	1967	CLGA	CLGA
BL01645	9029942	BFL_1	244	g156787	15047227	scaffold_4	1473	CLGA	CLGA
BL01643	9082100	BFL_1	245	g156677	14582040	scaffold_4	1471	CLGA	CLGA
BL01640	9094920	BFL_1	246	g156676	14566219	scaffold_4	1470	CLGA	CLGA
BL01639	9130208	BFL_1	247	g163708	50230047	scaffold_4	1941	CLGA	CLGA
BL01638	9144375	BFL_1	248	g157370	17748753	scaffold_4	1522	CLGA	CLGA
BL01633	9207084	BFL_1	251	g158510	23477497	scaffold_4	1605	CLGA	CLGA
BL01630	9237355	BFL_1	253	g158500	23396474	scaffold_4	1604	CLGA	CLGA
BL01629	9276434	BFL_1	254	g161841	40045849	scaffold_4	1835	CLGA	CLGA
BL01622	9327793	BFL_1	255	g154174	2998942	scaffold_4	1306	CLGA	CLGA
BL01621	9358290	BFL_1	256	g163591	49636404	scaffold_4	1936	CLGA	CLGA
BL01620	9394683	BFL_1	257	g163579	49513084	scaffold_4	1935	CLGA	CLGA
BL01618	9405738	BFL_1	258	g158783	24649258	scaffold_4	1633	CLGA	CLGA
BL01617	9425800	BFL_1	259	g157878	20215863	scaffold_4	1565	CLGA	CLGA
BL01616	9440269	BFL_1	260	g157874	20200018	scaffold_4	1564	CLGA	CLGA
BL01611	9507134	BFL_1	261	g155227	8112727	scaffold_4	1361	CLGA	CLGA
BL01608	9518683	BFL_1	262	g163536	49326055	scaffold_4	1925	CLGA	CLGA
BL01607	9536640	BFL_1	263	g155756	10423245	scaffold_4	1399	CLGA	CLGA
BL01606	9541869	BFL_1	264	g155752	10416853	scaffold_4	1398	CLGA	CLGA
BL01605	9555493	BFL_1	265	g163901	51344479	scaffold_4	1955	CLGA	CLGA
BL01604	9560230	BFL_1	266	g163905	51347317	scaffold_4	1956	CLGA	CLGA
BL01602	9575101	BFL_1	267	g157525	18527940	scaffold_4	1536	CLGA	CLGA
BL01601	9578074	BFL_1	268	g157526	18537272	scaffold_4	1537	CLGA	CLGA
BL01600	9585397	BFL_1	269	g157530	18546522	scaffold_4	1538	CLGA	CLGA
BL01597	9631053	BFL_1	270	g162286	42416623	scaffold_4	1871	CLGA	CLGA
BL01596	9652213	BFL_1	271	g157969	20729991	scaffold_4	1571	CLGA	CLGA
BL01594	9673800	BFL_1	272	g159533	28600764	scaffold_4	1679	CLGA	CLGA
BL01582	9847795	BFL_1	275	g161879	40238590	scaffold_4	1838	CLGA	CLGA
BL01581	9878813	BFL_1	276	g161873	40203153	scaffold_4	1837	CLGA	CLGA
BL01577	9987096	BFL_1	277	g154090	2697841	scaffold_4	1300	CLGA	CLGA
BL01576	10047484	BFL_1	278	g154084	2655207	scaffold_4	1299	CLGA	CLGA
BL01561	10214914	BFL_1	279	g156320	13013023	scaffold_4	1438	CLGA	CLGA
BL01560	10254813	BFL_1	280	g159173	26837132	scaffold_4	1654	CLGA	CLGA
BL01550	10328680	BFL_1	281	g157123	16463640	scaffold_4	1495	CLGA	CLGA
BL01548	10340510	BFL_1	282	g157638	19017633	scaffold_4	1544	CLGA	CLGA
BL01547	10357525	BFL_1	283	g158917	25468019	scaffold_4	1639	CLGA	CLGA
BL01546	10367657	BFL_1	284	g158924	25518498	scaffold_4	1640	CLGA	CLGA
BL01545	10382936	BFL_1	285	g158934	25548081	scaffold_4	1641	CLGA	CLGA
BL01542	10425301	BFL_1	286	g157643	19039789	scaffold_4	1545	CLGA	CLGA
BL01540	10442172	BFL_1	287	g157699	19278562	scaffold_4	1551	CLGA	CLGA
BL01539	10452759	BFL_1	288	g163464	48922182	scaffold_4	1921	CLGA	CLGA
BL01538	10489806	BFL_1	289	g158101	21423965	scaffold_4	1577	CLGA	CLGA
BL01535	10535562	BFL_1	290	g154442	4446265	scaffold_4	1320	CLGA	CLGA
BL01534	10542091	BFL_1	291	g158171	21778937	scaffold_4	1581	CLGA	CLGA
BL01533	10546296	BFL_1	292	g158173	21794960	scaffold_4	1582	CLGA	CLGA
BL01529	10613615	BFL_1	293	g158190	21918692	scaffold_4	1583	CLGA	CLGA
BL01523	10683264	BFL_1	294	g163251	47740317	scaffold_4	1912	CLGA	CLGA
BL01521	10693668	BFL_1	295	g163250	47736739	scaffold_4	1911	CLGA	CLGA
BL01517	10713534	BFL_1	296	g153922	1881722	scaffold_4	1291	CLGA	CLGA
BL01516	10739676	BFL_1	297	g163331	48233932	scaffold_4	1914	CLGA	CLGA
BL01514	10752539	BFL_1	298	g158897	25420419	scaffold_4	1638	CLGA	CLGA
BL01513	10768553	BFL_1	299	g161029	35953535	scaffold_4	1768	CLGA	CLGA
BL01511	10785501	BFL_1	300	g160369	32727094	scaffold_4	1725	CLGA	CLGA
BL01509	10796380	BFL_1	301	g160363	32718670	scaffold_4	1724	CLGA	CLGA
BL01508	10800528	BFL_1	302	g161281	37312000	scaffold_4	1785	CLGA	CLGA
BL01507	10808200	BFL_1	303	g160978	35751180	scaffold_4	1762	CLGA	CLGA
BL01506	10817555	BFL_1	304	g158952	25637945	scaffold_4	1643	CLGA	CLGA
BL01500	10904981	BFL_1	309	g156038	11520500	scaffold_4	1419	CLGA	CLGA
BL01494	10952001	BFL_1	313	g158946	25589587	scaffold_4	1642	CLGA	CLGA
BL01490	11009208	BFL_1	314	g162126	41675415	scaffold_4	1862	CLGA	CLGA
BL01487	11038631	BFL_1	316	g156215	12463003	scaffold_4	1433	CLGA	CLGA
BL01483	11098816	BFL_1	318	g156225	12505000	scaffold_4	1434	CLGA	CLGA
BL01479	11149025	BFL_1	320	g159866	30405293	scaffold_4	1698	CLGA	CLGA
BL01478	11162528	BFL_1	321	g153728	871668	scaffold_4	1275	CLGA	CLGA
BL01475	11188577	BFL_1	322	g160669	34090250	scaffold_4	1734	CLGA	CLGA
BL01465	11435534	BFL_1	324	g157936	20588735	scaffold_4	1569	CLGA	CLGA
BL01463	11471385	BFL_1	326	g159604	29027013	scaffold_4	1682	CLGA	CLGA
BL01455	11554697	BFL_1	330	g161284	37319092	scaffold_4	1786	CLGA	CLGA
BL01454	11559237	BFL_1	331	g157127	16493550	scaffold_4	1496	CLGA	CLGA
BL01449	11617920	BFL_1	332	g154509	4718951	scaffold_4	1322	CLGA	CLGA
BL01448	11634559	BFL_1	333	g157467	18244864	scaffold_4	1530	CLGA	CLGA
BL01445	11650438	BFL_1	334	g163601	49681973	scaffold_4	1938	CLGA	CLGA
BL01442	11673392	BFL_1	335	g160568	33672023	scaffold_4	1729	CLGA	CLGA
BL01440	11714764	BFL_1	336	g160007	31133413	scaffold_4	1706	CLGA	CLGA
BL01435	11754078	BFL_1	339	g159334	27701717	scaffold_4	1664	CLGA	CLGA
BL01434	11758225	BFL_1	340	g155763	10446948	scaffold_4	1400	CLGA	CLGA
BL01433	11764882	BFL_1	341	g155764	10448995	scaffold_4	1401	CLGA	CLGA
BL01430	11790012	BFL_1	342	g162351	42780891	scaffold_4	1875	CLGA	CLGA
BL01429	11798270	BFL_1	343	g162358	42797090	scaffold_4	1876	CLGA	CLGA
BL01425	11824315	BFL_1	344	g153828	1475085	scaffold_4	1283	CLGA	CLGA
BL01421	11901497	BFL_1	345	g153814	1392053	scaffold_4	1282	CLGA	CLGA
BL01418	12047699	BFL_1	346	g153810	1349142	scaffold_4	1281	CLGA	CLGA
BL01416	12102891	BFL_1	347	g153794	1276528	scaffold_4	1280	CLGA	CLGA
BL01415	12119288	BFL_1	348	g153789	1250415	scaffold_4	1279	CLGA	CLGA
BL01412	12127783	BFL_1	350	g153786	1243843	scaffold_4	1278	CLGA	CLGA
BL01411	12139372	BFL_1	351	g153745	962804	scaffold_4	1277	CLGA	CLGA
BL01410	12167685	BFL_1	352	g157424	18038020	scaffold_4	1525	CLGA	CLGA
BL01408	12179288	BFL_1	354	g158955	25654643	scaffold_4	1644	CLGA	CLGA
BL01407	12203909	BFL_1	355	g158960	25667879	scaffold_4	1645	CLGA	CLGA
BL01396	12291874	BFL_1	356	g159420	28105056	scaffold_4	1671	CLGA	CLGA
BL01395	12295419	BFL_1	357	g159423	28110632	scaffold_4	1672	CLGA	CLGA
BL01393	12371284	BFL_1	358	g161810	39875199	scaffold_4	1831	CLGA	CLGA
BL01392	12404693	BFL_1	359	g160709	34283483	scaffold_4	1738	CLGA	CLGA
BL01377	12496307	BFL_1	363	g156560	13941242	scaffold_4	1454	CLGA	CLGA
BL01375	12517753	BFL_1	364	g155552	9223686	scaffold_4	1380	CLGA	CLGA
BL01371	12544390	BFL_1	366	g158678	24191674	scaffold_4	1621	CLGA	CLGA
BL01370	12567731	BFL_1	367	g158665	24150037	scaffold_4	1620	CLGA	CLGA
BL01368	12587283	BFL_1	368	g162363	42807831	scaffold_4	1877	CLGA	CLGA
BL01366	12602419	BFL_1	370	g158470	23259505	scaffold_4	1602	CLGA	CLGA
BL01365	12617329	BFL_1	371	g156570	13978687	scaffold_4	1456	CLGA	CLGA
BL01363	12667924	BFL_1	372	g160770	34613644	scaffold_4	1744	CLGA	CLGA
BL01362	12685544	BFL_1	373	g157940	20618093	scaffold_4	1570	CLGA	CLGA
BL01361	12700477	BFL_1	374	g155427	8746189	scaffold_4	1370	CLGA	CLGA
BL01360	12704965	BFL_1	375	g162951	46363303	scaffold_4	1899	CLGA	CLGA
BL01359	12709930	BFL_1	376	g157524	18525922	scaffold_4	1535	CLGA	CLGA
BL01357	12715694	BFL_1	378	g153965	2119542	scaffold_4	1294	CLGA	CLGA
