s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi
LOC591839	3039594	scaffold_6	71	L_var_06166	19060174	chr3	3362
LOC100890290	3042517	scaffold_6	72	L_var_06167	19046421	chr3	3361
LOC586471	3082010	scaffold_6	73	L_var_06164	18984476	chr3	3360
LOC591730	3159751	scaffold_6	74	L_var_06163	18915541	chr3	3359
LOC592555	3183532	scaffold_6	75	L_var_06162	18906341	chr3	3358
LOC592592	3199892	scaffold_6	76	L_var_06161	18859373	chr3	3357
LOC373404	3251511	scaffold_6	77	L_var_06159	18807163	chr3	3356
LOC586173	3264287	scaffold_6	78	L_var_06157	18785434	chr3	3355
LOC586198	3292907	scaffold_6	79	L_var_06156	18752007	chr3	3354
hh	3341494	scaffold_6	80	L_var_06155	18694947	chr3	3353
LOC754820	3382049	scaffold_6	81	L_var_06154	18648844	chr3	3352
LOC100888217	3387803	scaffold_6	82	L_var_06153	18634725	chr3	3351
LOC763365	3496312	scaffold_6	83	L_var_06151	18532748	chr3	3350
LOC100888145	3530792	scaffold_6	84	L_var_06150	18479389	chr3	3349
LOC763347	3541254	scaffold_6	85	L_var_06148	18450647	chr3	3347
LOC580966	3578649	scaffold_6	86	L_var_06147	18399018	chr3	3346
LOC100888743	3633366	scaffold_6	87	L_var_06145	18303026	chr3	3345
LOC575822	3641099	scaffold_6	88	L_var_06144	18284421	chr3	3344
LOC100894138	3645247	scaffold_6	89	L_var_06143	18284175	chr3	3343
LOC115918026	3665595	scaffold_6	90	L_var_06140	18229515	chr3	3342
LOC592472	3701311	scaffold_6	91	L_var_06139	18196116	chr3	3341
LOC591417	3870198	scaffold_6	92	L_var_06135	17979382	chr3	3340
LOC580506	3886827	scaffold_6	93	L_var_06134	17968285	chr3	3339
LOC580635	3914742	scaffold_6	94	L_var_06133	17925673	chr3	3338
LOC580696	3926701	scaffold_6	95	L_var_06132	17911215	chr3	3337
LOC594039	3927160	scaffold_6	96	L_var_06131	17888790	chr3	3336
LOC594046	3952981	scaffold_6	97	L_var_06130	17860733	chr3	3335
LOC589605	3980754	scaffold_6	98	L_var_06128	17801368	chr3	3334
LOC589630	3999660	scaffold_6	99	L_var_06127	17756467	chr3	3333
LOC580131	4022766	scaffold_6	100	L_var_06126	17716281	chr3	3332
LOC580071	4060834	scaffold_6	101	L_var_05738	2842929	chr3	3076
LOC580010	4091801	scaffold_6	102	L_var_06124	17599040	chr3	3331
LOC105442779	4221887	scaffold_6	103	L_var_06123	17476139	chr3	3330
LOC579894	4357686	scaffold_6	104	L_var_06121	17253905	chr3	3329
LOC763100	4377031	scaffold_6	105	L_var_06120	17221667	chr3	3328
LOC115918281	4389143	scaffold_6	106	L_var_06119	17211369	chr3	3327
LOC100894133	4454627	scaffold_6	107	L_var_06118	17099985	chr3	3326
LOC763067	4462767	scaffold_6	108	L_var_06117	17092071	chr3	3325
LOC578330	4481613	scaffold_6	109	L_var_06116	17048536	chr3	3324
LOC578394	4504713	scaffold_6	110	L_var_06115	17009974	chr3	3323
LOC115919296	4649358	scaffold_6	111	L_var_06114	16871736	chr3	3322
LOC100893969	4680700	scaffold_6	112	L_var_06113	16841947	chr3	3321
LOC594811	4791745	scaffold_6	113	L_var_06112	16741953	chr3	3320
LOC578762	4829366	scaffold_6	114	L_var_06599	33557271	chr3	3685
LOC577137	4902069	scaffold_6	115	L_var_06597	33486014	chr3	3684
LOC581748	4939499	scaffold_6	116	L_var_06596	33443063	chr3	3683
LOC575162	4961734	scaffold_6	117	L_var_06594	33378350	chr3	3682
LOC100892760	4981867	scaffold_6	118	L_var_06593	33319659	chr3	3681
LOC575376	5003634	scaffold_6	119	L_var_06590	33268492	chr3	3679
LOC100892916	5032218	scaffold_6	120	L_var_06588	33218562	chr3	3677
LOC105439613	5091587	scaffold_6	121	L_var_06587	33194424	chr3	3676
LOC762981	5100617	scaffold_6	122	L_var_06586	33186269	chr3	3675
LOC100892099	5126539	scaffold_6	123	L_var_06585	33163073	chr3	3674
LOC105439627	5142894	scaffold_6	124	L_var_06584	33121374	chr3	3673
LOC581873	5181082	scaffold_6	125	L_var_06583	33083199	chr3	3672
LOC589684	5255811	scaffold_6	126	L_var_06582	33015559	chr3	3671
LOC581558	5384881	scaffold_6	127	L_var_06578	32610017	chr3	3670
LOC100890308	5393098	scaffold_6	128	L_var_06577	32597781	chr3	3669
LOC586827	5448116	scaffold_6	129	L_var_06572	32541247	chr3	3668
LOC586807	5453724	scaffold_6	130	L_var_06571	32536421	chr3	3667
LOC580011	5456479	scaffold_6	131	L_var_06570	32530548	chr3	3666
LOC580072	5511510	scaffold_6	132	L_var_06569	32468687	chr3	3665
LOC580191	5513448	scaffold_6	133	L_var_06567	32454978	chr3	3664
LOC752896	5538748	scaffold_6	134	L_var_06566	32409517	chr3	3663
LOC575126	5545984	scaffold_6	135	L_var_06564	32361471	chr3	3661
LOC752864	5580157	scaffold_6	136	L_var_06563	32294876	chr3	3660
LOC105441928	5588236	scaffold_6	137	L_var_06562	32288304	chr3	3659
LOC580435	5607240	scaffold_6	138	L_var_06561	32246538	chr3	3658
LOC580554	5613227	scaffold_6	139	L_var_06560	32232350	chr3	3657
LOC580618	5658092	scaffold_6	140	L_var_06559	32137000	chr3	3656
LOC752454	5682974	scaffold_6	141	L_var_06558	32056927	chr3	3655
LOC579659	5809820	scaffold_6	142	L_var_06557	31992252	chr3	3654
LOC588960	5831386	scaffold_6	144	L_var_06555	31943395	chr3	3653
LOC105440285	5833306	scaffold_6	145	L_var_06554	31940286	chr3	3652
LOC100888036	5887269	scaffold_6	146	L_var_06551	31852177	chr3	3651
LOC592391	5909508	scaffold_6	147	L_var_06548	31778469	chr3	3650
LOC589012	5942459	scaffold_6	148	L_var_06547	31730283	chr3	3649
LOC585998	5991013	scaffold_6	149	L_var_06546	31647910	chr3	3648
LOC100893051	6010177	scaffold_6	150	L_var_06542	31601462	chr3	3646
LOC585202	6012656	scaffold_6	151	L_var_06541	31571438	chr3	3645
LOC762920	6038738	scaffold_6	152	L_var_06540	31554232	chr3	3644
LOC584529	6125127	scaffold_6	153	L_var_06539	31499076	chr3	3643
LOC594485	6170717	scaffold_6	154	L_var_06538	31407608	chr3	3642
LOC594488	6182740	scaffold_6	155	L_var_06537	31383655	chr3	3641
LOC583286	6190015	scaffold_6	156	L_var_06536	31352918	chr3	3640
LOC583262	6225978	scaffold_6	157	L_var_06535	31319264	chr3	3639
LOC585950	6265682	scaffold_6	158	L_var_06533	31250252	chr3	3638
LOC585976	6273095	scaffold_6	159	L_var_06532	31241547	chr3	3637
LOC100888178	6321858	scaffold_6	160	L_var_06531	31207108	chr3	3636
LOC586461	6385350	scaffold_6	161	L_var_06529	31117962	chr3	3635
LOC590946	6393197	scaffold_6	162	L_var_06527	31077112	chr3	3634
LOC581957	6427328	scaffold_6	163	L_var_06526	31046162	chr3	3633
LOC580556	6689269	scaffold_6	164	L_var_06523	30658994	chr3	3632
LOC591081	6912968	scaffold_6	165	L_var_06521	30484260	chr3	3631
LOC100894026	6926547	scaffold_6	166	L_var_06520	30455903	chr3	3630
LOC105438425	6946308	scaffold_6	167	L_var_06518	30437200	chr3	3629
LOC100891882	7008259	scaffold_6	168	L_var_06517	30404609	chr3	3628
LOC100890018	7023110	scaffold_6	169	L_var_06516	30390524	chr3	3627
LOC764876	7048758	scaffold_6	170	L_var_06515	30355987	chr3	3626
LOC579323	7053751	scaffold_6	171	L_var_06514	30346819	chr3	3625
LOC100888893	7092811	scaffold_6	172	L_var_06513	30300521	chr3	3624
LOC754129	7111025	scaffold_6	173	L_var_06512	30287583	chr3	3623
LOC579637	7137038	scaffold_6	174	L_var_06511	30251088	chr3	3622
LOC579703	7159175	scaffold_6	175	L_var_06509	30185332	chr3	3621
LOC579774	7173020	scaffold_6	176	L_var_06508	30170916	chr3	3620
LOC579946	7184435	scaffold_6	177	L_var_06506	30131159	chr3	3618
LOC580006	7227356	scaffold_6	178	L_var_06253	22015007	chr3	3435
LOC753176	7230503	scaffold_6	179	L_var_06254	22027652	chr3	3436
LOC579307	7292415	scaffold_6	181	L_var_07120	51831068	chr3	4007
LOC373234	7361343	scaffold_6	182	L_var_07117	51659903	chr3	4006
LOC753202	7495473	scaffold_6	183	L_var_07113	51566417	chr3	4004
LOC578073	7568643	scaffold_6	185	L_var_07111	51477588	chr3	4003
LOC583801	7579390	scaffold_6	186	L_var_07110	51472668	chr3	4002
LOC583818	7614865	scaffold_6	187	L_var_07109	51425865	chr3	4001
LOC754309	7622248	scaffold_6	188	L_var_07108	51413606	chr3	4000
LOC580777	7653371	scaffold_6	189	L_var_07107	51382661	chr3	3999
LOC753607	7673560	scaffold_6	190	L_var_07105	51355037	chr3	3998
LOC100893485	7680985	scaffold_6	191	L_var_07104	51311649	chr3	3997
LOC586315	7749686	scaffold_6	192	L_var_07103	51269858	chr3	3996
LOC763180	7750406	scaffold_6	193	L_var_07102	51266546	chr3	3995
LOC576137	7900695	scaffold_6	194	L_var_07101	51224479	chr3	3994
LOC590877	8009012	scaffold_6	195	L_var_07096	51058147	chr3	3989
LOC590831	8052480	scaffold_6	196	L_var_07095	51003823	chr3	3988
LOC586344	8118882	scaffold_6	197	L_var_07100	51151537	chr3	3993
LOC585829	8122923	scaffold_6	198	L_var_07099	51144666	chr3	3992
LOC589176	8203475	scaffold_6	199	L_var_07098	51102772	chr3	3991
LOC590896	8207685	scaffold_6	200	L_var_07097	51071286	chr3	3990
LOC575560	8370925	scaffold_6	201	L_var_07093	50951822	chr3	3987
LOC115919424	8416790	scaffold_6	202	L_var_07091	50868583	chr3	3986
LOC578201	8424909	scaffold_6	203	L_var_07090	50861710	chr3	3985
LOC578214	8506894	scaffold_6	204	L_var_07088	50759975	chr3	3983
LOC105439087	8538442	scaffold_6	205	L_var_07087	50713668	chr3	3982
LOC578083	8562427	scaffold_6	206	L_var_07086	50666332	chr3	3981
LOC115919459	8609444	scaffold_6	207	L_var_07085	50629108	chr3	3980
LOC100888259	8652161	scaffold_6	208	L_var_07084	50586437	chr3	3979
LOC580187	8677650	scaffold_6	209	L_var_07077	50322572	chr3	3978
LOC594652	8789256	scaffold_6	210	L_var_07076	50174499	chr3	3977
LOC373388	8802536	scaffold_6	211	L_var_07075	50137214	chr3	3976
LOC580429	8803793	scaffold_6	212	L_var_07074	50129648	chr3	3975
LOC580066	8823575	scaffold_6	213	L_var_07073	50094259	chr3	3974
LOC580004	8838796	scaffold_6	214	L_var_07072	50052586	chr3	3973
LOC579944	8848420	scaffold_6	215	L_var_07071	50037938	chr3	3972
LOC579890	8906086	scaffold_6	216	L_var_07070	49971459	chr3	3971
LOC579831	8908637	scaffold_6	217	L_var_07069	49956713	chr3	3970
LOC579773	8953488	scaffold_6	218	L_var_07068	49906915	chr3	3968
LOC576910	8953493	scaffold_6	219	L_var_07067	49907196	chr3	3969
LOC591182	9086149	scaffold_6	221	L_var_07062	49812656	chr3	3967
LOC588257	9097231	scaffold_6	222	L_var_07061	49790894	chr3	3966
LOC594770	9143946	scaffold_6	223	L_var_06149	18460691	chr3	3348
LOC574707	9201388	scaffold_6	224	L_var_07055	49741848	chr3	3965
LOC100890850	9213891	scaffold_6	225	L_var_07054	49674961	chr3	3964
LOC105437565	9225193	scaffold_6	226	L_var_07053	49663918	chr3	3963
LOC574908	9254410	scaffold_6	227	L_var_07050	49627351	chr3	3962
LOC574974	9295289	scaffold_6	228	L_var_07049	49601939	chr3	3961
LOC588679	9305414	scaffold_6	229	L_var_07048	49559825	chr3	3960
LOC584749	9326776	scaffold_6	230	L_var_07047	49527922	chr3	3959
LOC584793	9335570	scaffold_6	231	L_var_07046	49517655	chr3	3958
LOC579715	9396531	scaffold_6	232	L_var_07045	49500088	chr3	3957
LOC579956	9452035	scaffold_6	233	L_var_07041	49438182	chr3	3956
LOC580016	9496193	scaffold_6	234	L_var_07040	49401193	chr3	3955
LOC592628	9504162	scaffold_6	235	L_var_07039	49391612	chr3	3954
LOC756504	9530805	scaffold_6	236	L_var_07038	49354004	chr3	3953
LOC592590	9531918	scaffold_6	237	L_var_07037	49350004	chr3	3952
LOC756540	9561067	scaffold_6	238	L_var_07036	49309899	chr3	3951
LOC580380	9574601	scaffold_6	239	L_var_07035	49286692	chr3	3950
LOC580562	9580327	scaffold_6	240	L_var_07034	49256948	chr3	3949
LOC105441013	9730495	scaffold_6	241	L_var_07032	49099920	chr3	3948
LOC582354	9788763	scaffold_6	242	L_var_07031	49029082	chr3	3947
LOC586095	9793769	scaffold_6	243	L_var_07030	49015736	chr3	3946
LOC587818	9840532	scaffold_6	244	L_var_07029	48952840	chr3	3945
LOC588858	9840849	scaffold_6	245	L_var_07028	48951187	chr3	3944
LOC574572	9893005	scaffold_6	246	L_var_07027	48891290	chr3	3943
LOC586939	9898124	scaffold_6	247	L_var_07016	48227046	chr3	3933
LOC756624	9943761	scaffold_6	248	L_var_07017	48270760	chr3	3934
LOC582724	10097941	scaffold_6	249	L_var_07019	48426580	chr3	3935
LOC100889919	10101153	scaffold_6	250	L_var_07020	48446435	chr3	3936
LOC576433	10130070	scaffold_6	251	L_var_07021	48473772	chr3	3937
LOC582008	10170323	scaffold_6	252	L_var_07022	48550411	chr3	3938
LOC581903	10309174	scaffold_6	253	L_var_07023	48715339	chr3	3939
LOC581862	10403978	scaffold_6	254	L_var_07024	48821371	chr3	3940
LOC581813	10420247	scaffold_6	255	L_var_07025	48853876	chr3	3941
LOC100890498	10433915	scaffold_6	256	L_var_07026	48866140	chr3	3942
LOC576238	10435557	scaffold_6	257	L_var_07015	48224475	chr3	3932
LOC576167	10443276	scaffold_6	258	L_var_07613	68659641	chr3	4357
LOC577108	10500064	scaffold_6	259	L_var_07614	68687901	chr3	4358
LOC577170	10552973	scaffold_6	260	L_var_07616	68803613	chr3	4359
LOC105446492	10595339	scaffold_6	261	L_var_07617	68856664	chr3	4360
LOC577357	10603158	scaffold_6	262	L_var_07619	68873537	chr3	4361
LOC764571	10653803	scaffold_6	263	L_var_07620	68895767	chr3	4362
LOC579123	10653982	scaffold_6	264	L_var_07621	68895930	chr3	4363
LOC575808	10697028	scaffold_6	265	L_var_07622	68951638	chr3	4364
LOC577613	10697275	scaffold_6	266	L_var_07623	68951728	chr3	4365
LOC100891357	10758846	scaffold_6	267	L_var_07624	69030062	chr3	4366
LOC577732	10800847	scaffold_6	268	L_var_07625	69075807	chr3	4367
LOC590623	10806106	scaffold_6	269	L_var_07626	69098820	chr3	4368
LOC100891631	10837307	scaffold_6	270	L_var_07629	69171687	chr3	4369
LOC582715	10899032	scaffold_6	271	L_var_07630	69207156	chr3	4370
LOC579674	10906698	scaffold_6	272	L_var_07631	69222480	chr3	4371
LOC594510	10967518	scaffold_6	273	L_var_07632	69306581	chr3	4372
LOC582184	11106111	scaffold_6	274	L_var_07634	69399189	chr3	4373
LOC754105	11108992	scaffold_6	275	L_var_07637	69451859	chr3	4374
LOC584408	11165097	scaffold_6	276	L_var_07639	69553180	chr3	4375
LOC754005	11208392	scaffold_6	277	L_var_07640	69593631	chr3	4376
LOC115919385	11240252	scaffold_6	278	L_var_07641	69616881	chr3	4377
LOC590620	11267206	scaffold_6	279	L_var_07642	69655293	chr3	4378
LOC581185	11381153	scaffold_6	280	L_var_07644	69769131	chr3	4379
LOC592098	11385468	scaffold_6	281	L_var_07645	69805303	chr3	4380
LOC753939	11404386	scaffold_6	282	L_var_07646	69836325	chr3	4381
LOC753921	11405223	scaffold_6	283	L_var_07647	69836491	chr3	4382
LOC575693	11426446	scaffold_6	284	L_var_07648	69874033	chr3	4383
LOC752443	11428438	scaffold_6	285	L_var_07649	69878851	chr3	4384
LOC100893976	11451700	scaffold_6	286	L_var_07650	69909930	chr3	4385
LOC575960	11469929	scaffold_6	287	L_var_07651	69941448	chr3	4387
LOC753895	11477167	scaffold_6	288	L_var_07652	69941421	chr3	4386
GATAc	11556165	scaffold_6	289	L_var_07656	70019371	chr3	4388
LOC576089	11621734	scaffold_6	290	L_var_07659	70148350	chr3	4389
LOC587059	11621735	scaffold_6	291	L_var_07661	70187308	chr3	4391
LOC592424	11641424	scaffold_6	292	L_var_07663	70232655	chr3	4393
LOC592405	11641444	scaffold_6	293	L_var_07662	70227002	chr3	4392
LOC585193	11665170	scaffold_6	294	L_var_07664	70257079	chr3	4394
LOC100887866	11728410	scaffold_6	295	L_var_07665	70369228	chr3	4395
LOC764148	11735534	scaffold_6	296	L_var_07607	68565045	chr3	4351
LOC593404	11801592	scaffold_6	297	L_var_07606	68498856	chr3	4350
LOC765066	11828909	scaffold_6	298	L_var_07603	68461445	chr3	4348
LOC754534	11833535	scaffold_6	299	L_var_07601	68415559	chr3	4346
LOC115919501	12000291	scaffold_6	300	L_var_07597	68277748	chr3	4344
LOC105443757	12051966	scaffold_6	301	L_var_07595	68214184	chr3	4343
LOC115918165	12211426	scaffold_6	302	L_var_07590	68007854	chr3	4339
LOC115919392	12322909	scaffold_6	303	L_var_07589	67773459	chr3	4338
LOC105445798	12404890	scaffold_6	304	L_var_07605	68491781	chr3	4349
LOC578600	12435798	scaffold_6	305	L_var_07602	68453499	chr3	4347
LOC578218	12539322	scaffold_6	307	L_var_07599	68328095	chr3	4345
LOC115918265	12691448	scaffold_6	309	L_var_07594	68178436	chr3	4342
LOC575761	12804903	scaffold_6	310	L_var_07593	68066073	chr3	4341
LOC575694	12817042	scaffold_6	311	L_var_07591	68009631	chr3	4340
LOC575352	12981424	scaffold_6	312	L_var_07587	67678502	chr3	4337
LOC105440131	12999533	scaffold_6	313	L_var_07586	67665135	chr3	4336
LOC753040	13041038	scaffold_6	314	L_var_07585	67615382	chr3	4335
LOC757294	13085622	scaffold_6	315	L_var_07584	67557825	chr3	4334
LOC575627	13148137	scaffold_6	316	L_var_07583	67503937	chr3	4333
LOC100888382	13155864	scaffold_6	317	L_var_07582	67490265	chr3	4332
LOC100888444	13164135	scaffold_6	318	L_var_07581	67482723	chr3	4331
LOC100893973	13169076	scaffold_6	319	L_var_07579	67475813	chr3	4330
LOC585204	13350843	scaffold_6	321	L_var_07576	67196031	chr3	4329
LOC578952	13381796	scaffold_6	322	L_var_07575	67162782	chr3	4328
LOC578258	13433459	scaffold_6	323	L_var_07574	67106752	chr3	4327
LOC115919133	13446082	scaffold_6	324	L_var_07572	67076375	chr3	4326
LOC579085	13454933	scaffold_6	325	L_var_07571	67073417	chr3	4325
LOC579138	13499606	scaffold_6	326	L_var_07568	67027203	chr3	4324
LOC100890893	13499654	scaffold_6	327	L_var_07565	67008196	chr3	4323
LOC579511	13520197	scaffold_6	328	L_var_07564	66982355	chr3	4322
LOC100890827	13520365	scaffold_6	329	L_var_07563	66980567	chr3	4321
LOC589815	13572112	scaffold_6	330	L_var_07561	66916255	chr3	4320
LOC577255	13572352	scaffold_6	331	L_var_07560	66907424	chr3	4319
LOC577313	13586678	scaffold_6	332	L_var_07559	66882774	chr3	4318
LOC577383	13591738	scaffold_6	333	L_var_07557	66870909	chr3	4317
shr2	13621909	scaffold_6	334	L_var_07555	66800550	chr3	4315
LOC100890388	13622493	scaffold_6	335	L_var_07556	66827362	chr3	4316
LOC105439903	13656017	scaffold_6	336	L_var_07554	66769387	chr3	4314
LOC577753	13663014	scaffold_6	337	L_var_07553	66761696	chr3	4313
LOC577822	13680907	scaffold_6	338	L_var_07552	66730798	chr3	4312
LOC100890511	13689050	scaffold_6	339	L_var_07551	66726143	chr3	4311
LOC577957	13694651	scaffold_6	340	L_var_07550	66708296	chr3	4310
LOC755431	13756577	scaffold_6	341	L_var_07548	66597052	chr3	4309
LOC588264	13797840	scaffold_6	342	L_var_07545	66482905	chr3	4307
LOC594794	13813439	scaffold_6	343	L_var_07546	66487939	chr3	4308
LOC584198	13969489	scaffold_6	345	L_var_07542	66143769	chr3	4306
LOC754367	13972394	scaffold_6	346	L_var_07541	66131213	chr3	4305
LOC752241	14006576	scaffold_6	347	L_var_07539	66071188	chr3	4304
LOC100889046	14108006	scaffold_6	348	L_var_07538	65987863	chr3	4303
LOC577103	14114784	scaffold_6	349	L_var_07536	65901528	chr3	4302
LOC577165	14147565	scaffold_6	350	L_var_07535	65858923	chr3	4301
LOC585748	14181747	scaffold_6	351	L_var_07534	65826090	chr3	4300
LOC100888771	14183727	scaffold_6	352	L_var_07533	65810748	chr3	4299
LOC115918209	14202814	scaffold_6	353	L_var_07532	65779533	chr3	4298
LOC105444654	14226541	scaffold_6	354	L_var_07531	65726173	chr3	4297
LOC100888972	14241454	scaffold_6	355	L_var_07530	65683093	chr3	4296
LOC105444653	14254448	scaffold_6	356	L_var_07529	65654000	chr3	4295
LOC100888902	14265732	scaffold_6	357	L_var_07774	74396843	chr3	4466
LOC752104	14285747	scaffold_6	358	L_var_07776	74428830	chr3	4467
LOC752081	14318395	scaffold_6	359	L_var_07777	74464970	chr3	4468
LOC100888029	14394739	scaffold_6	360	L_var_07785	74753129	chr3	4470
LOC752034	14396655	scaffold_6	361	L_var_07410	61710611	chr3	4209
LOC752507	14492706	scaffold_6	362	L_var_07409	61685684	chr3	4208
LOC579914	14528322	scaffold_6	363	L_var_07407	61564149	chr3	4207
LOC763537	14635158	scaffold_6	364	L_var_07431	62436055	chr3	4225
LOC580091	14667513	scaffold_6	365	L_var_07432	62467586	chr3	4226
LOC589723	14682388	scaffold_6	366	L_var_07433	62484695	chr3	4227
LOC115919112	14700816	scaffold_6	367	L_var_07434	62512537	chr3	4228
LOC100892957	14767286	scaffold_6	368	L_var_07435	62518113	chr3	4229
LOC756525	14767461	scaffold_6	369	L_var_07436	62519049	chr3	4230
LOC583995	14844942	scaffold_6	370	L_var_07437	62576795	chr3	4231
